variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Simulation Time [millis],Taxi Travel Distance [km]
P2PCollector+nearest (k=0),0,BASELINE,60,1,1000,1,4,0,none,0.045,756.5475,7.8375,0.05,70.735
P2PCollector+nearest (k=0),0,BASELINE,60,1,1000,1,4,0,page-rank,0.0275,345.85,1.9075,0.035,132.3475
P2PCollector+nearest (k=0),0,BASELINE,60,1,1000,1,4,0,return-to-hq,0.0125,287.235,0.91,0.02,357.4825
P2PCollector+nearest (k=0),0,BASELINE,60,1,1000,1,4,1,none,0.0425,756.5475,7.8375,0.05,70.735
P2PCollector+nearest (k=0),0,BASELINE,60,1,1000,1,4,1,page-rank,0.0275,345.85,1.9075,0.035,132.3475
P2PCollector+nearest (k=0),0,BASELINE,60,1,1000,1,4,1,return-to-hq,0.01,288.3175,0.925,0.02,369.05
P2PCollector+nearest (k=0),0,BASELINE,60,1,2000,1,4,0,none,0.01,325.3175,1.5325,0.0175,86.615
P2PCollector+nearest (k=0),0,BASELINE,60,1,2000,1,4,0,page-rank,0.0075,302.9775,1.16,0.01,111.92999999999999
P2PCollector+nearest (k=0),0,BASELINE,60,1,2000,1,4,0,return-to-hq,0.0,296.935,1.0550000000000002,0.01,131.245
P2PCollector+nearest (k=0),0,BASELINE,60,1,2000,1,4,1,none,0.01,325.3175,1.5325,0.0175,86.615
P2PCollector+nearest (k=0),0,BASELINE,60,1,2000,1,4,1,page-rank,0.0075,302.9775,1.16,0.01,111.92999999999999
P2PCollector+nearest (k=0),0,BASELINE,60,1,2000,1,4,1,return-to-hq,0.0,296.1375,1.0425,0.01,130.7575
P2PCollector+nearest (k=0),0,BASELINE,550,1,1000,1,4,0,none,0.2925,403.67,0.885,0.3675,92.3625
P2PCollector+nearest (k=0),0,BASELINE,550,1,1000,1,4,0,page-rank,0.3925,387.6925,0.6074999999999999,0.475,153.745
P2PCollector+nearest (k=0),0,BASELINE,550,1,1000,1,4,0,return-to-hq,0.11499999999999999,382.78,0.5225,0.19,236.7825
P2PCollector+nearest (k=0),0,BASELINE,550,1,1000,1,4,1,none,0.3,403.67,0.885,0.3725,92.3625
P2PCollector+nearest (k=0),0,BASELINE,550,1,1000,1,4,1,page-rank,0.3925,387.6925,0.6074999999999999,0.47250000000000003,153.745
P2PCollector+nearest (k=0),0,BASELINE,550,1,1000,1,4,1,return-to-hq,0.11499999999999999,382.8625,0.5225,0.19,235.285
P2PCollector+nearest (k=0),0,BASELINE,550,1,2000,1,4,0,none,0.10750000000000001,413.7025,1.04,0.17750000000000002,99.91
P2PCollector+nearest (k=0),0,BASELINE,550,1,2000,1,4,0,page-rank,0.1475,412.4875,1.02,0.2175,126.945
P2PCollector+nearest (k=0),0,BASELINE,550,1,2000,1,4,0,return-to-hq,0.11,412.1275,1.01,0.1875,232.1975
P2PCollector+nearest (k=0),0,BASELINE,550,1,2000,1,4,1,none,0.11,413.7025,1.04,0.1725,99.91
P2PCollector+nearest (k=0),0,BASELINE,550,1,2000,1,4,1,page-rank,0.1475,412.4875,1.02,0.22,126.945
P2PCollector+nearest (k=0),0,BASELINE,550,1,2000,1,4,1,return-to-hq,0.11,412.31,1.0150000000000001,0.185,232.1175
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,1000,1,4,0,none,0.0375,684.9175,6.8575,0.0475,73.21000000000001
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,1000,1,4,0,page-rank,0.03,442.365,3.415,0.0375,120.5425
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,1000,1,4,0,return-to-hq,0.095,1675.71,21.055,0.1,68.36
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,1000,1,4,1,none,0.0375,684.9175,6.8575,0.0475,73.21000000000001
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,1000,1,4,1,page-rank,0.03,442.365,3.415,0.0375,120.5425
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,1000,1,4,1,return-to-hq,0.1,1675.71,21.055,0.10500000000000001,68.36
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,2000,1,4,0,none,0.01,336.85,1.675,0.0175,87.62
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,2000,1,4,0,page-rank,0.0075,311.76,1.2349999999999999,0.0125,114.82
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,2000,1,4,0,return-to-hq,0.045,797.7925,8.9475,0.055,92.4475
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,2000,1,4,1,none,0.01,336.85,1.675,0.0175,87.62
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,2000,1,4,1,page-rank,0.01,311.76,1.2349999999999999,0.0125,114.82
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,2000,1,4,1,return-to-hq,0.05,797.7925,8.9475,0.055,92.4475
P2PCollector+nearest (k=0),0,RUSH_HOUR,550,1,1000,1,4,0,none,0.295,412.55,1.035,0.3675,92.17500000000001
P2PCollector+nearest (k=0),0,RUSH_HOUR,550,1,1000,1,4,0,page-rank,0.52,408.5575,0.98,0.6025,142.4425
P2PCollector+nearest (k=0),0,RUSH_HOUR,550,1,1000,1,4,0,return-to-hq,5.665,2429.3225,33.7175,5.785,79.72749999999999
P2PCollector+nearest (k=0),0,RUSH_HOUR,550,1,1000,1,4,1,none,0.3025,412.55,1.035,0.3725,92.17500000000001
P2PCollector+nearest (k=0),0,RUSH_HOUR,550,1,1000,1,4,1,page-rank,0.5225,408.5575,0.98,0.6025,142.4425
P2PCollector+nearest (k=0),0,RUSH_HOUR,550,1,1000,1,4,1,return-to-hq,5.8125,2429.3225,33.7175,5.93,79.72749999999999
P2PCollector+nearest (k=0),0,RUSH_HOUR,550,1,2000,1,4,0,none,0.10500000000000001,412.9675,1.0325,0.175,99.755
P2PCollector+nearest (k=0),0,RUSH_HOUR,550,1,2000,1,4,0,page-rank,0.14250000000000002,412.78,1.03,0.2125,123.3575
P2PCollector+nearest (k=0),0,RUSH_HOUR,550,1,2000,1,4,0,return-to-hq,2.9475,1330.0025,16.08,3.05,100.245
P2PCollector+nearest (k=0),0,RUSH_HOUR,550,1,2000,1,4,1,none,0.10250000000000001,412.9675,1.0325,0.17,99.755
P2PCollector+nearest (k=0),0,RUSH_HOUR,550,1,2000,1,4,1,page-rank,0.14,412.78,1.03,0.21,123.3575
P2PCollector+nearest (k=0),0,RUSH_HOUR,550,1,2000,1,4,1,return-to-hq,2.93,1330.0025,16.08,3.0325,100.245
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,60,1,1000,1,4,0,none,0.15,2228.6625,30.28,0.1575,35.295
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,60,1,1000,1,4,0,page-rank,0.02,274.86,1.2149999999999999,0.03,116.9975
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,60,1,1000,1,4,0,return-to-hq,0.05,724.685,8.219999999999999,0.057499999999999996,90.8
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,60,1,1000,1,4,1,none,0.14500000000000002,2228.6625,30.28,0.155,35.295
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,60,1,1000,1,4,1,page-rank,0.02,274.86,1.2149999999999999,0.0275,116.9975
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,60,1,1000,1,4,1,return-to-hq,0.05,724.685,8.219999999999999,0.057499999999999996,90.8
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,60,1,2000,1,4,0,none,0.065,1262.0725,17.39,0.07,63.0375
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,60,1,2000,1,4,0,page-rank,0.0025,266.99,1.0775000000000001,0.01,105.7
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,60,1,2000,1,4,0,return-to-hq,0.03,375.74,2.8875,0.0325,107.0375
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,60,1,2000,1,4,1,none,0.065,1262.0725,17.39,0.07,63.0375
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,60,1,2000,1,4,1,page-rank,0.0,266.99,1.0775000000000001,0.01,105.7
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,60,1,2000,1,4,1,return-to-hq,0.03,375.74,2.8875,0.0325,107.0375
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,550,1,1000,1,4,0,none,7.57,3281.98,44.974999999999994,7.69,39.9
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,550,1,1000,1,4,0,page-rank,0.19,333.03000000000003,0.545,0.27,128.52749999999997
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,550,1,1000,1,4,0,return-to-hq,1.1125,499.02250000000004,3.4025,1.205,109.935
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,550,1,1000,1,4,1,none,8.2125,3281.98,44.974999999999994,8.34,39.9
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,550,1,1000,1,4,1,page-rank,0.1925,333.03000000000003,0.545,0.2675,128.52749999999997
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,550,1,1000,1,4,1,return-to-hq,1.12,499.02250000000004,3.4025,1.21,109.935
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,550,1,2000,1,4,0,none,5.640000000000001,2324.8975,31.965,5.75,61.54
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,550,1,2000,1,4,0,page-rank,0.15,362.88,1.04,0.22,121.36
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,550,1,2000,1,4,0,return-to-hq,0.72,388.9625,1.5,0.8025,119.55
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,550,1,2000,1,4,1,none,5.68,2324.8975,31.965,5.795,61.54
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,550,1,2000,1,4,1,page-rank,0.15,362.88,1.04,0.2175,121.36
