metric,variant_k,spawnScenario,count,mean,median,std,min,max
Calculation Time [millis],P2PCollector+nearest (k=0),BASELINE,96,0.10583333333333333,0.08,0.12073168743489501,0.0,0.45
Calculation Time [millis],P2PCollector+nearest (k=0),RUSH_HOUR,96,0.8311458333333334,0.1,1.6853341819427274,0.0,5.98
Calculation Time [millis],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,96,1.3367708333333335,0.15,2.510842381098284,0.0,8.4
Calculation Time [millis],P2PCollector+nearest (k=0),SPATIAL_ISLANDS,96,1.8997916666666665,0.16,3.7095878560028086,0.0,11.91
Calculation Time [millis],P2PCollector+nearest (k=1),BASELINE,96,0.23583333333333334,0.13,0.23767588132034667,0.0,0.68
Calculation Time [millis],P2PCollector+nearest (k=1),RUSH_HOUR,96,0.9984375,0.20500000000000002,1.8222550102464856,0.01,7.45
Calculation Time [millis],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,96,2.0783333333333336,0.21999999999999997,3.032304548885712,0.0,10.43
Calculation Time [millis],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,96,2.325416666666667,0.295,3.388257094783523,0.01,11.5
Calculation Time [millis],P2PCollector+nearest (k=2),BASELINE,96,0.37947916666666665,0.175,0.41413033745852135,0.01,1.24
Calculation Time [millis],P2PCollector+nearest (k=2),RUSH_HOUR,96,1.0213541666666666,0.245,1.6087894237866305,0.01,5.84
Calculation Time [millis],P2PCollector+nearest (k=2),SPATIAL_IMBALANCE,96,2.220625,0.28500000000000003,3.186945349059933,0.01,12.08
Calculation Time [millis],P2PCollector+nearest (k=2),SPATIAL_ISLANDS,96,2.3880208333333335,0.41500000000000004,3.3051244485819344,0.01,10.32
Calculation Time [millis],SinglePassenger,BASELINE,8,0.02,0.02,0.021380899352993952,0.0,0.04
Calculation Time [millis],SinglePassenger,RUSH_HOUR,8,0.02,0.02,0.021380899352993952,0.0,0.04
Calculation Time [millis],SinglePassenger,SPATIAL_IMBALANCE,8,0.02,0.02,0.021380899352993952,0.0,0.04
Calculation Time [millis],SinglePassenger,SPATIAL_ISLANDS,8,0.02,0.02,0.021380899352993952,0.0,0.04
Client Travel Time [min],P2PCollector+nearest (k=0),BASELINE,96,393.9664583333333,384.49,125.41637222912341,283.48,976.18
Client Travel Time [min],P2PCollector+nearest (k=0),RUSH_HOUR,96,804.63125,422.58500000000004,643.9817936152347,303.6,2512.04
Client Travel Time [min],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,96,1026.981875,444.36,985.9668760159532,262.99,3319.62
Client Travel Time [min],P2PCollector+nearest (k=0),SPATIAL_ISLANDS,96,1398.8100000000002,421.57,1547.1554775651996,282.99,4848.98
Client Travel Time [min],P2PCollector+nearest (k=1),BASELINE,96,394.46947916666664,384.295,125.37971468068538,284.48,982.5
Client Travel Time [min],P2PCollector+nearest (k=1),RUSH_HOUR,96,777.6887499999999,421.42499999999995,603.3272883588319,305.51,2532.82
