algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,BASELINE,Taxi Travel Distance [km],4,70.73500000000001,2.676476228177638,66.51,73.9,182.205,157.42,198.29000000000002
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,BASELINE,Client Waiting Time [min],4,7.8375,1.401916099486699,6.3,10.09,106.36500000000001,98.23,119.3
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,BASELINE,Client Travel Time [min],4,756.5475000000001,132.2003406529272,628.72,976.18,6678.5,5856.0,7201.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,BASELINE,Calculation Time [millis],4,0.045000000000000005,0.008660254037844387,0.04,0.06,7.75,6.0,9.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,BASELINE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,BASELINE,Simulation Time [millis],4,0.05,0.012247448713915893,0.04,0.07,8.0,6.0,9.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,BASELINE,Taxi Travel Distance [km],4,92.3625,0.07980444849755904,92.29,92.49,440.12,430.24,450.66
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,BASELINE,Client Waiting Time [min],4,0.885,0.14008925726121899,0.68,1.05,44.055,25.599999999999998,53.480000000000004
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,BASELINE,Client Travel Time [min],4,403.67,8.639542811977957,391.0,413.3,2858.5,1802.0,3438.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,BASELINE,Calculation Time [millis],4,0.29250000000000004,0.03897114317029974,0.23,0.33,21.25,11.0,45.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,BASELINE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,BASELINE,Simulation Time [millis],4,0.36749999999999994,0.036996621467371864,0.31,0.4,21.75,12.0,45.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Taxi Travel Distance [km],4,73.21,1.5052408445162537,71.45,75.14,156.8175,127.25000000000001,186.09
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Client Waiting Time [min],4,6.8575,1.7093620886166863,5.15,9.58,110.17750000000001,99.22,115.19
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Client Travel Time [min],4,684.9175,123.53791935575893,574.97,884.16,6644.0,5971.0,6961.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Calculation Time [millis],4,0.037500000000000006,0.008291561975888501,0.03,0.05,15.25,6.0,22.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Simulation Time [millis],4,0.0475,0.008291561975888498,0.04,0.06,15.25,6.0,22.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Taxi Travel Distance [km],4,92.17500000000001,0.3701688803775926,91.87,92.79,351.3225,342.99,361.59
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Client Waiting Time [min],4,1.035,0.18391574157749518,0.8,1.28,50.30499999999999,24.79,75.99
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Client Travel Time [min],4,412.55,10.576027136878958,400.55,427.92,3256.25,1867.0,4615.0
