metric,variant_k,spawnScenario,count,mean,median,std,min,max
Calculation Time [millis],P2PCollector+nearest (k=0),BASELINE,6,2.2450000000000006,0.19,3.6173733564563113,0.01,8.81
Calculation Time [millis],P2PCollector+nearest (k=0),RUSH_HOUR,6,4.830000000000001,0.185,7.912787119593197,0.01,19.01
Calculation Time [millis],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,6,2.5483333333333333,0.175,4.176067129090081,0.0,10.18
Calculation Time [millis],P2PCollector+nearest (k=0),SPATIAL_ISLANDS,6,55.99,0.21,87.78680766493333,0.0,190.79
Calculation Time [millis],P2PCollector+nearest (k=1),BASELINE,6,4.756666666666667,0.815,6.775590503171415,0.01,14.55
Calculation Time [millis],P2PCollector+nearest (k=1),RUSH_HOUR,6,6.515000000000001,0.775,9.600572378769924,0.01,21.06
Calculation Time [millis],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,6,5.296666666666667,1.06,7.514183033881106,0.01,16.93
Calculation Time [millis],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,6,54.923333333333325,0.905,85.62793017857354,0.01,186.92
Calculation Time [millis],SinglePassenger,BASELINE,3,0.18666666666666668,0.06,0.2730079363925769,0.0,0.5
Calculation Time [millis],SinglePassenger,RUSH_HOUR,3,0.18333333333333335,0.06,0.2672701504720146,0.0,0.49
Calculation Time [millis],SinglePassenger,SPATIAL_IMBALANCE,3,0.19000000000000003,0.07,0.2707397274136177,0.0,0.5
Calculation Time [millis],SinglePassenger,SPATIAL_ISLANDS,3,0.18333333333333335,0.06,0.2672701504720146,0.0,0.49
Calculation Time [millis],VehicleRouting,BASELINE,1,0.74,0.74,,0.74,0.74
Client Travel Time [min],P2PCollector+nearest (k=0),BASELINE,6,453.965,317.63,240.3907669399971,266.64,765.1
Client Travel Time [min],P2PCollector+nearest (k=0),RUSH_HOUR,6,502.31500000000005,342.735,300.83080911037024,266.29,951.94
Client Travel Time [min],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,6,395.6916666666666,272.365,210.13441511724506,232.69,666.75
Client Travel Time [min],P2PCollector+nearest (k=0),SPATIAL_ISLANDS,6,1189.0249999999999,298.795,1409.9598329420594,257.35,3279.18
Client Travel Time [min],P2PCollector+nearest (k=1),BASELINE,6,454.055,317.63,240.53900995472648,266.71,765.14
Client Travel Time [min],P2PCollector+nearest (k=1),RUSH_HOUR,6,503.76500000000004,346.12,300.2583725893418,266.47,947.47
Client Travel Time [min],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,6,396.24500000000006,273.425,210.0968376487376,232.73,666.77
Client Travel Time [min],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,6,1175.7383333333335,298.735,1390.8224689645572,257.48,3253.04
Client Travel Time [min],SinglePassenger,BASELINE,3,419.20000000000005,283.35,265.4415941407827,249.18,725.07
Client Travel Time [min],SinglePassenger,RUSH_HOUR,3,1089.5,278.12,1429.4857634478212,250.33,2740.05
Client Travel Time [min],SinglePassenger,SPATIAL_IMBALANCE,3,477.13000000000005,295.97,321.30728158571196,287.31,848.11
Client Travel Time [min],SinglePassenger,SPATIAL_ISLANDS,3,545.4366666666666,336.88,369.5932080454582,327.26,972.17
Client Travel Time [min],VehicleRouting,BASELINE,1,298.83,298.83,,298.83,298.83
Client Waiting Time [min],P2PCollector+nearest (k=0),BASELINE,6,1.0483333333333333,1.02,0.3318081775162671,0.53,1.56
Client Waiting Time [min],P2PCollector+nearest (k=0),RUSH_HOUR,6,1.9233333333333331,1.5350000000000001,1.3913686307613329,0.53,4.35
Client Waiting Time [min],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,6,1.04,1.09,0.26630809225406576,0.53,1.31
Client Waiting Time [min],P2PCollector+nearest (k=0),SPATIAL_ISLANDS,6,14.141666666666666,1.25,20.54231867795519,0.56,45.4
Client Waiting Time [min],P2PCollector+nearest (k=1),BASELINE,6,1.0483333333333333,1.0150000000000001,0.3317478962505514,0.53,1.56
Client Waiting Time [min],P2PCollector+nearest (k=1),RUSH_HOUR,6,1.95,1.59,1.3802608449130185,0.53,4.28
Client Waiting Time [min],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,6,1.0483333333333333,1.115,0.2682846746772291,0.53,1.31
Client Waiting Time [min],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,6,13.9,1.25,20.202150380590673,0.56,44.93
Client Waiting Time [min],SinglePassenger,BASELINE,3,0.4633333333333334,0.37,0.2818391976523729,0.24,0.78
Client Waiting Time [min],SinglePassenger,RUSH_HOUR,3,11.603333333333333,0.77,19.207249499429462,0.26,33.78
Client Waiting Time [min],SinglePassenger,SPATIAL_IMBALANCE,3,2.3866666666666667,1.56,1.5369233335899788,1.44,4.16
Client Waiting Time [min],SinglePassenger,SPATIAL_ISLANDS,3,2.8800000000000003,1.86,1.8803988938520464,1.73,5.05
Client Waiting Time [min],VehicleRouting,BASELINE,1,2.96,2.96,,2.96,2.96
Simulation Time [millis],P2PCollector+nearest (k=0),BASELINE,6,2.5,0.28,3.9339852567085205,0.01,9.56
Simulation Time [millis],P2PCollector+nearest (k=0),RUSH_HOUR,6,5.081666666666667,0.28500000000000003,8.199852234440977,0.01,19.66
