algorithm,kHops,p2pRequestRepublishTicks,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Taxi Travel Distance [km],1,135.03,0.0,135.03,135.03,413.83,413.83,413.83
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Client Waiting Time [min],1,1.56,0.0,1.56,1.56,19.849999999999998,19.849999999999998,19.849999999999998
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Client Travel Time [min],1,328.45,0.0,328.45,328.45,1409.0,1409.0,1409.0
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Calculation Time [millis],1,0.03,0.0,0.03,0.03,10.0,10.0,10.0
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Simulation Time [millis],1,0.04,0.0,0.04,0.04,11.0,11.0,11.0
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Taxi Travel Distance [km],1,105.28,0.0,105.28,105.28,573.36,573.36,573.36
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Client Waiting Time [min],1,0.53,0.0,0.53,0.53,2.39,2.39,2.39
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Client Travel Time [min],1,266.64,0.0,266.64,266.64,583.0,583.0,583.0
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Calculation Time [millis],1,0.2,0.0,0.2,0.2,11.0,11.0,11.0
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Simulation Time [millis],1,0.29,0.0,0.29,0.29,11.0,11.0,11.0
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Taxi Travel Distance [km],1,285.55,0.0,285.55,285.55,811.77,811.77,811.77
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Client Waiting Time [min],1,0.99,0.0,0.99,0.99,88.87,88.87,88.87
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Client Travel Time [min],1,761.37,0.0,761.37,761.37,5567.0,5567.0,5567.0
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Calculation Time [millis],1,8.81,0.0,8.81,8.81,86.0,86.0,86.0
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Simulation Time [millis],1,9.56,0.0,9.56,9.56,87.0,87.0,87.0
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Taxi Travel Distance [km],1,122.1,0.0,122.1,122.1,300.76,300.76,300.76
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Client Waiting Time [min],1,2.56,0.0,2.56,2.56,47.949999999999996,47.949999999999996,47.949999999999996
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Client Travel Time [min],1,386.56,0.0,386.56,386.56,3718.0,3718.0,3718.0
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Calculation Time [millis],1,0.02,0.0,0.02,0.02,3.0,3.0,3.0
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Simulation Time [millis],1,0.03,0.0,0.03,0.03,3.0,3.0,3.0
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Taxi Travel Distance [km],1,102.98,0.0,102.98,102.98,440.3,440.3,440.3
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Client Waiting Time [min],1,0.53,0.0,0.53,0.53,5.14,5.14,5.14
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Client Travel Time [min],1,266.29,0.0,266.29,266.29,756.0,756.0,756.0
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Calculation Time [millis],1,0.17,0.0,0.17,0.17,15.0,15.0,15.0
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Simulation Time [millis],1,0.27,0.0,0.27,0.27,15.0,15.0,15.0
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Taxi Travel Distance [km],1,231.42,0.0,231.42,231.42,808.23,808.23,808.23
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Client Waiting Time [min],1,4.35,0.0,4.35,4.35,138.94,138.94,138.94
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Client Travel Time [min],1,951.94,0.0,951.94,951.94,19394.0,19394.0,19394.0
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Calculation Time [millis],1,19.01,0.0,19.01,19.01,184.0,184.0,184.0
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Simulation Time [millis],1,19.66,0.0,19.66,19.66,185.0,185.0,185.0
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Taxi Travel Distance [km],1,117.45,0.0,117.45,117.45,450.15,450.15,450.15
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Client Waiting Time [min],1,1.31,0.0,1.31,1.31,46.79,46.79,46.79
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Client Travel Time [min],1,279.13,0.0,279.13,279.13,2995.0,2995.0,2995.0
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Calculation Time [millis],1,0.02,0.0,0.02,0.02,18.0,18.0,18.0
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,1000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Simulation Time [millis],1,0.02,0.0,0.02,0.02,18.0,18.0,18.0
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Taxi Travel Distance [km],1,99.29,0.0,99.29,99.29,523.0,523.0,523.0
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Client Waiting Time [min],1,0.53,0.0,0.53,0.53,0.94,0.94,0.94
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Client Travel Time [min],1,232.69,0.0,232.69,232.69,591.0,591.0,591.0
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Calculation Time [millis],1,0.17,0.0,0.17,0.17,16.0,16.0,16.0
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Simulation Time [millis],1,0.26,0.0,0.26,0.26,23.0,23.0,23.0
