metric,taxiCount,clientCount,spawnScenario,factor,level,count,mean,std,min,max,note
Calculation Time [millis],39,638,BASELINE,kHops,0,1200,0.007367499999999999,0.006246328863438532,0.003,0.035,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,kHops,1,1200,0.007311666666666668,0.005974189457319613,0.003,0.028,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,kHops,2,1200,0.0076475,0.00612177592972645,0.003,0.025,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,p2pRqsRadius,1000,1200,0.014586666666666668,0.005716472158056382,0.006,0.035,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,p2pRqsRadius,2000,1200,0.004386666666666667,0.0014470316073313906,0.003,0.01,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,p2pRqsRadius,3000,1200,0.003353333333333333,0.0005601342227643435,0.003,0.008,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,p2pStrategy,greedy,1800,0.007415,0.00602666831355811,0.003,0.028,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,p2pStrategy,nearest,1800,0.007469444444444444,0.006203977612192616,0.003,0.035,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,p2pOverlayShortcuts,0,1800,0.007481111111111111,0.006226293908971797,0.003,0.035,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,p2pOverlayShortcuts,1,1800,0.007403333333333334,0.006003481480213667,0.003,0.028,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,idleRoamingMode,none,720,0.009625,0.00779311328948182,0.003,0.035,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,idleRoamingMode,past-avg,720,0.006159722222222222,0.0038364752498563043,0.003,0.015,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,idleRoamingMode,past-avg-revisit,720,0.010369444444444445,0.008269599114232933,0.003,0.028,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,idleRoamingMode,past-avg-total,720,0.006327777777777778,0.003856725506623656,0.003,0.015,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,idleRoamingMode,random,720,0.004729166666666667,0.0022044926626915563,0.003,0.009,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,RUSH_HOUR,kHops,0,1200,0.007258333333333334,0.005162894225743033,0.003,0.022,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,RUSH_HOUR,kHops,1,1200,0.007253333333333334,0.0050652939919524605,0.003,0.023,descriptive marginal screen; crossed factors and repeated seeds not modeled
