metric,taxiCount,clientCount,spawnScenario,pairs,changed,maxAbsDiff,factor,valueA,valueB
Calculation Time [millis],39,638,BASELINE,720,584,0.02,idleRoamingMode,random,past-avg-revisit
Calculation Time [millis],39,638,RUSH_HOUR,720,584,0.013999999999999999,idleRoamingMode,random,past-avg-revisit
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,720,629,0.031000000000000003,idleRoamingMode,random,past-avg-revisit
Calculation Time [millis],39,638,SPATIAL_ISLANDS,720,699,0.024,idleRoamingMode,random,past-avg-revisit
Calculation Time [millis],1685,27762,BASELINE,720,719,2.604,idleRoamingMode,random,past-avg-revisit
Calculation Time [millis],1685,27762,RUSH_HOUR,720,720,3.459999999999999,idleRoamingMode,random,past-avg-revisit
Calculation Time [millis],1685,27762,SPATIAL_IMBALANCE,720,720,2.071999999999999,idleRoamingMode,random,past-avg-revisit
Calculation Time [millis],1685,27762,SPATIAL_ISLANDS,720,719,5.93,idleRoamingMode,random,past-avg-revisit
Client Travel Time [min],39,638,BASELINE,720,720,5.766716666666667,idleRoamingMode,random,past-avg-revisit
Client Travel Time [min],39,638,RUSH_HOUR,720,720,6.475233333333334,idleRoamingMode,random,past-avg-revisit
Client Travel Time [min],39,638,SPATIAL_IMBALANCE,720,720,21.043366666666667,idleRoamingMode,random,past-avg-revisit
Client Travel Time [min],39,638,SPATIAL_ISLANDS,720,720,31.074166666666667,idleRoamingMode,random,past-avg-revisit
Client Travel Time [min],1685,27762,BASELINE,720,720,2.317866666666667,idleRoamingMode,random,past-avg-revisit
Client Travel Time [min],1685,27762,RUSH_HOUR,720,720,13.122000000000007,idleRoamingMode,random,past-avg-revisit
Client Travel Time [min],1685,27762,SPATIAL_IMBALANCE,720,720,56.99423333333331,idleRoamingMode,random,past-avg-revisit
Client Travel Time [min],1685,27762,SPATIAL_ISLANDS,720,720,91.19574999999999,idleRoamingMode,random,past-avg-revisit
Client Waiting Time [min],39,638,BASELINE,720,720,5.257216666666666,idleRoamingMode,random,past-avg-revisit
Client Waiting Time [min],39,638,RUSH_HOUR,720,720,6.113816666666666,idleRoamingMode,random,past-avg-revisit
Client Waiting Time [min],39,638,SPATIAL_IMBALANCE,720,720,21.18378333333333,idleRoamingMode,random,past-avg-revisit
Client Waiting Time [min],39,638,SPATIAL_ISLANDS,720,720,29.203883333333334,idleRoamingMode,random,past-avg-revisit
Client Waiting Time [min],1685,27762,BASELINE,720,720,2.6695166666666665,idleRoamingMode,random,past-avg-revisit
Client Waiting Time [min],1685,27762,RUSH_HOUR,720,720,11.902850000000003,idleRoamingMode,random,past-avg-revisit
Client Waiting Time [min],1685,27762,SPATIAL_IMBALANCE,720,720,48.64875000000001,idleRoamingMode,random,past-avg-revisit
Client Waiting Time [min],1685,27762,SPATIAL_ISLANDS,720,720,81.75418333333333,idleRoamingMode,random,past-avg-revisit
Custom Time [micros],39,638,BASELINE,720,712,0.6479999999999999,idleRoamingMode,random,past-avg-revisit
Custom Time [micros],39,638,RUSH_HOUR,720,706,0.8320000000000001,idleRoamingMode,random,past-avg-revisit
Custom Time [micros],39,638,SPATIAL_IMBALANCE,720,715,7.147,idleRoamingMode,random,past-avg-revisit
Custom Time [micros],39,638,SPATIAL_ISLANDS,720,717,4.736,idleRoamingMode,random,past-avg-revisit
Custom Time [micros],1685,27762,BASELINE,720,720,183.74199999999996,idleRoamingMode,random,past-avg-revisit
Custom Time [micros],1685,27762,RUSH_HOUR,720,720,2894.5290000000005,idleRoamingMode,random,past-avg-revisit
Custom Time [micros],1685,27762,SPATIAL_IMBALANCE,720,720,2605.102999999999,idleRoamingMode,random,past-avg-revisit
Custom Time [micros],1685,27762,SPATIAL_ISLANDS,720,720,5587.428999999999,idleRoamingMode,random,past-avg-revisit
Simulation Time [millis],39,638,BASELINE,720,637,0.022,idleRoamingMode,random,past-avg-revisit
Simulation Time [millis],39,638,RUSH_HOUR,720,606,0.013000000000000001,idleRoamingMode,random,past-avg-revisit
Simulation Time [millis],39,638,SPATIAL_IMBALANCE,720,681,0.033,idleRoamingMode,random,past-avg-revisit
Simulation Time [millis],39,638,SPATIAL_ISLANDS,720,697,0.026000000000000002,idleRoamingMode,random,past-avg-revisit
Simulation Time [millis],1685,27762,BASELINE,720,720,2.844,idleRoamingMode,random,past-avg-revisit
Simulation Time [millis],1685,27762,RUSH_HOUR,720,719,3.6919999999999984,idleRoamingMode,random,past-avg-revisit
Simulation Time [millis],1685,27762,SPATIAL_IMBALANCE,720,720,3.0619999999999994,idleRoamingMode,random,past-avg-revisit
Simulation Time [millis],1685,27762,SPATIAL_ISLANDS,720,720,5.667000000000002,idleRoamingMode,random,past-avg-revisit
Taxi Travel Distance [km],39,638,BASELINE,720,720,218.96649200000002,idleRoamingMode,random,past-avg-revisit
Taxi Travel Distance [km],39,638,RUSH_HOUR,720,720,181.053782,idleRoamingMode,random,past-avg-revisit
Taxi Travel Distance [km],39,638,SPATIAL_IMBALANCE,720,720,293.988882,idleRoamingMode,random,past-avg-revisit
Taxi Travel Distance [km],39,638,SPATIAL_ISLANDS,720,720,322.995204,idleRoamingMode,random,past-avg-revisit
