taxiCount,clientCount,taxiSeatCount,spawnScenario,configurations,allSeeds,withTravelAllSeeds,thresholdPct
39,638,1,BASELINE,360,0,0,0
39,638,1,RUSH_HOUR,360,0,0,0
39,638,1,SPATIAL_IMBALANCE,360,0,0,0
39,638,1,SPATIAL_ISLANDS,360,0,0,0
1685,27762,1,BASELINE,360,0,0,0
1685,27762,1,RUSH_HOUR,360,288,288,0
1685,27762,1,SPATIAL_IMBALANCE,360,0,0,0
1685,27762,1,SPATIAL_ISLANDS,360,0,0,0
39,638,1,BASELINE,360,0,0,5
39,638,1,RUSH_HOUR,360,0,0,5
39,638,1,SPATIAL_IMBALANCE,360,0,0,5
39,638,1,SPATIAL_ISLANDS,360,0,0,5
1685,27762,1,BASELINE,360,0,0,5
1685,27762,1,RUSH_HOUR,360,288,288,5
1685,27762,1,SPATIAL_IMBALANCE,360,0,0,5
1685,27762,1,SPATIAL_ISLANDS,360,0,0,5
39,638,1,BASELINE,360,0,0,10
39,638,1,RUSH_HOUR,360,0,0,10
39,638,1,SPATIAL_IMBALANCE,360,0,0,10
39,638,1,SPATIAL_ISLANDS,360,0,0,10
1685,27762,1,BASELINE,360,0,0,10
1685,27762,1,RUSH_HOUR,360,288,288,10
1685,27762,1,SPATIAL_IMBALANCE,360,92,92,10
1685,27762,1,SPATIAL_ISLANDS,360,0,0,10
39,638,1,BASELINE,360,0,0,15
39,638,1,RUSH_HOUR,360,0,0,15
39,638,1,SPATIAL_IMBALANCE,360,0,0,15
39,638,1,SPATIAL_ISLANDS,360,48,48,15
1685,27762,1,BASELINE,360,0,0,15
1685,27762,1,RUSH_HOUR,360,288,288,15
1685,27762,1,SPATIAL_IMBALANCE,360,144,144,15
1685,27762,1,SPATIAL_ISLANDS,360,4,4,15
