taxiCount,clientCount,taxiSeatCount,spawnScenario,configurations,currentPass,withTravelTime,thresholdPct,allSeeds,withTravelAllSeeds
39,638,1,BASELINE,360,0,0,0,0,0
39,638,1,RUSH_HOUR,360,0,0,0,0,0
39,638,1,SPATIAL_IMBALANCE,360,0,0,0,0,0
39,638,1,SPATIAL_ISLANDS,360,0,0,0,0,0
1685,27762,1,BASELINE,360,0,0,0,0,0
1685,27762,1,RUSH_HOUR,360,288,288,0,288,288
1685,27762,1,SPATIAL_IMBALANCE,360,0,0,0,0,0
1685,27762,1,SPATIAL_ISLANDS,360,0,0,0,0,0
39,638,1,BASELINE,360,0,0,5,0,0
39,638,1,RUSH_HOUR,360,0,0,5,0,0
39,638,1,SPATIAL_IMBALANCE,360,0,0,5,0,0
39,638,1,SPATIAL_ISLANDS,360,0,0,5,0,0
1685,27762,1,BASELINE,360,0,0,5,0,0
1685,27762,1,RUSH_HOUR,360,288,288,5,288,288
1685,27762,1,SPATIAL_IMBALANCE,360,8,8,5,0,0
1685,27762,1,SPATIAL_ISLANDS,360,0,0,5,0,0
39,638,1,BASELINE,360,0,0,10,0,0
39,638,1,RUSH_HOUR,360,0,0,10,0,0
39,638,1,SPATIAL_IMBALANCE,360,0,0,10,0,0
39,638,1,SPATIAL_ISLANDS,360,0,0,10,0,0
1685,27762,1,BASELINE,360,0,0,10,0,0
1685,27762,1,RUSH_HOUR,360,288,288,10,288,288
1685,27762,1,SPATIAL_IMBALANCE,360,96,96,10,92,92
1685,27762,1,SPATIAL_ISLANDS,360,4,4,10,0,0
39,638,1,BASELINE,360,0,0,15,0,0
39,638,1,RUSH_HOUR,360,0,0,15,0,0
39,638,1,SPATIAL_IMBALANCE,360,28,28,15,0,0
39,638,1,SPATIAL_ISLANDS,360,76,76,15,48,48
1685,27762,1,BASELINE,360,0,0,15,0,0
1685,27762,1,RUSH_HOUR,360,288,288,15,288,288
1685,27762,1,SPATIAL_IMBALANCE,360,144,144,15,144,144
1685,27762,1,SPATIAL_ISLANDS,360,4,4,15,4,4
