metric,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,avgMean,avgStd,countMean,servedRatioMean,runs,communicationTimeMillisMean,singleAvg,singleStd,singleCount,delta,deltaPct
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,False,none,none,0.0191,0.0008755950357709137,88542.7,,10,6.45e-05,0.003,0.0004714045207910317,87047.0,0.0161,536.6666666666666
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,True,past-avg,past-avg,0.0112,0.0012292725943057184,87259.1,,10,7.110000000000001e-05,0.003,0.0004714045207910317,87047.0,0.008199999999999999,273.3333333333333
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,0.0214,0.0006992058987800996,88695.8,,10,6.35e-05,0.003,0.0004714045207910317,87047.0,0.0184,613.3333333333333
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,True,past-avg-total,past-avg-total,0.011300000000000001,0.0011595018087284055,87326.7,,10,7.280000000000001e-05,0.003,0.0004714045207910317,87047.0,0.008300000000000002,276.6666666666667
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,True,random,random,0.0076,0.0008432740427115675,87057.1,,10,9.439999999999999e-05,0.003,0.0004714045207910317,87047.0,0.0046,153.33333333333331
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,False,none,none,0.0195,0.0008498365855987978,88542.7,,10,6.759999999999999e-05,0.003,0.0004714045207910317,87047.0,0.0165,550.0
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,True,past-avg,past-avg,0.011300000000000001,0.0009486832980505136,87259.1,,10,6.97e-05,0.003,0.0004714045207910317,87047.0,0.008300000000000002,276.6666666666667
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,0.021,0.0008164965809277256,88695.8,,10,6.47e-05,0.003,0.0004714045207910317,87047.0,0.018000000000000002,600.0000000000001
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,True,past-avg-total,past-avg-total,0.0111,0.0011005049346146116,87326.7,,10,7.29e-05,0.003,0.0004714045207910317,87047.0,0.0081,270.0
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,True,random,random,0.0076,0.0005163977794943224,87057.1,,10,9.13e-05,0.003,0.0004714045207910317,87047.0,0.0046,153.33333333333331
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,greedy,1,4,0,1,2000,False,none,none,0.0196,0.0011737877907772685,88542.7,,10,6.97e-05,0.003,0.0004714045207910317,87047.0,0.0166,553.3333333333334
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,greedy,1,4,0,1,2000,True,past-avg,past-avg,0.011300000000000001,0.0010593499054713802,87259.1,,10,6.939999999999999e-05,0.003,0.0004714045207910317,87047.0,0.008300000000000002,276.6666666666667
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,greedy,1,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,0.0219,0.001100504934614611,88695.8,,10,6.52e-05,0.003,0.0004714045207910317,87047.0,0.0189,630.0
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,greedy,1,4,0,1,2000,True,past-avg-total,past-avg-total,0.0111,0.0011972189997378649,87326.7,,10,6.85e-05,0.003,0.0004714045207910317,87047.0,0.0081,270.0
