rank,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingMode,groups,groupsWithin5,groupsWithin5WithTravel,meanWaitingDeltaPct,worstWaitingDeltaPct,meanDistanceDeltaPct,worstDistanceDeltaPct,meanTravelDeltaPct,worstTravelDeltaPct,worstPickupGapPoints,worstReferenceNormalizedRegret
1,2,15,2000,greedy,0,4,1,1,2000,past-avg-total,8,1,1,32.022150286775684,187.94813757063866,14.98823883921849,36.29980714788192,-0.9433542519555971,28.19264448571326,1.9886895756789813,37.589627514127734
2,2,15,2000,nearest,0,4,1,1,2000,past-avg-total,8,1,1,31.98078861812788,187.94813757063866,14.99352716802037,36.29980714788192,-0.957279221018581,28.170806604890753,2.017866147972047,37.589627514127734
3,2,15,2000,greedy,1,4,1,1,2000,past-avg-total,8,1,1,32.06652164864982,190.14477122197246,14.979832309721916,36.0554345701076,-1.0054893062987662,27.714149932618383,1.967797709098762,38.02895424439449
4,2,15,2000,nearest,1,4,1,1,2000,past-avg-total,8,1,1,32.25274705456429,190.1508476636082,14.957320586695579,36.057028990511284,-0.9576253929720395,28.181127119508574,1.9757222102154026,38.030169532721644
5,2,15,2000,greedy,0,4,1,1,2000,past-avg,8,1,1,39.76163605985697,190.40453910190195,13.961764552537192,35.71898747751931,1.1979153195458503,44.17993817236214,2.8593040847201157,38.08090782038039
6,2,15,2000,nearest,0,4,1,1,2000,past-avg,8,1,1,39.61241218833227,190.40605821231088,13.959327517328708,35.71891031306269,1.1575469254382202,43.8643272903638,2.833729558389164,38.08121164246218
7,2,15,2000,greedy,1,4,1,1,2000,past-avg,8,1,1,39.76092258710912,190.81317980190798,13.947718550334528,35.571405273757975,1.186603837005161,44.0956999546017,2.8387724227361133,38.16263596038159
8,2,15,2000,nearest,1,4,1,1,2000,past-avg,8,1,1,39.77551761802788,190.813179801908,13.930718353859204,35.571405273757975,1.1839208204778977,44.13117672360052,2.84597651466032,38.1626359603816
9,2,15,3000,greedy,0,4,1,1,2000,random,8,0,0,95.71367122615003,218.2202812677347,63.34747153009875,147.36093735632534,15.031486922247264,58.17825765484395,3.9327137814278434,43.644056253546935
10,2,15,3000,greedy,1,4,1,1,2000,random,8,0,0,95.71367122615003,218.2202812677347,63.34747153009875,147.36093735632534,15.031486922247264,58.17825765484395,3.9327137814278434,43.644056253546935
