metric,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,runs,avgMean,avgStd,avgMin,avgMax,servedRatioMean
Calculation Time [millis],TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,10,0.003,0.0004714045207910317,0.002,0.004,
Calculation Time [millis],TaxiAlgorithmSinglePassenger,39,638,1,RUSH_HOUR,10,0.0024000000000000002,0.0005163977794943222,0.002,0.003,
Calculation Time [millis],TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_IMBALANCE,10,0.0025,0.0005270462766947298,0.002,0.003,
Calculation Time [millis],TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_ISLANDS,10,0.0025,0.0005270462766947298,0.002,0.003,
Calculation Time [millis],TaxiAlgorithmSinglePassenger,1685,27762,1,BASELINE,10,0.6234,0.04378533493711749,0.567,0.677,
Calculation Time [millis],TaxiAlgorithmSinglePassenger,1685,27762,1,RUSH_HOUR,10,0.6409,0.05876213822597756,0.551,0.73,
Calculation Time [millis],TaxiAlgorithmSinglePassenger,1685,27762,1,SPATIAL_IMBALANCE,10,0.644,0.07245228314783005,0.544,0.746,
Calculation Time [millis],TaxiAlgorithmSinglePassenger,1685,27762,1,SPATIAL_ISLANDS,10,0.5546,0.07762616969954284,0.409,0.656,
Client Travel Time [min],TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,10,9.456726666666667,0.17423933929519117,9.183933333333332,9.750516666666666,
Client Travel Time [min],TaxiAlgorithmSinglePassenger,39,638,1,RUSH_HOUR,10,9.639435,0.23613243818059163,9.150450000000001,9.912466666666667,
Client Travel Time [min],TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_IMBALANCE,10,9.8634,0.21476582754016618,9.586,10.230166666666666,
Client Travel Time [min],TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_ISLANDS,10,11.113866666666667,0.19046139461714062,10.772250000000001,11.36175,
Client Travel Time [min],TaxiAlgorithmSinglePassenger,1685,27762,1,BASELINE,10,32.715035,0.1069107711633436,32.516816666666664,32.91665,
Client Travel Time [min],TaxiAlgorithmSinglePassenger,1685,27762,1,RUSH_HOUR,10,71.92939166666666,0.44517820140151276,71.29323333333333,72.51726666666667,
Client Travel Time [min],TaxiAlgorithmSinglePassenger,1685,27762,1,SPATIAL_IMBALANCE,10,38.78894666666666,0.14199542328740083,38.467099999999995,38.98311666666667,
Client Travel Time [min],TaxiAlgorithmSinglePassenger,1685,27762,1,SPATIAL_ISLANDS,10,44.70061333333333,0.10269045413460015,44.52603333333333,44.8715,
Client Waiting Time [min],TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,10,1.7100933333333335,0.1284010608202015,1.5015666666666665,1.8975666666666666,1.0
Client Waiting Time [min],TaxiAlgorithmSinglePassenger,39,638,1,RUSH_HOUR,10,1.9210166666666666,0.11489445935345828,1.7301666666666666,2.0607833333333336,1.0
Client Waiting Time [min],TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_IMBALANCE,10,3.289476666666667,0.1131523397356605,3.130933333333333,3.4792,1.0
Client Waiting Time [min],TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_ISLANDS,10,3.6515883333333337,0.1414753084616569,3.4141666666666666,3.822416666666667,1.0
Client Waiting Time [min],TaxiAlgorithmSinglePassenger,1685,27762,1,BASELINE,10,1.31656,0.05099769191097684,1.2508333333333332,1.4002333333333332,1.0
Client Waiting Time [min],TaxiAlgorithmSinglePassenger,1685,27762,1,RUSH_HOUR,10,41.76129166666667,0.4000077913014356,41.138850000000005,42.361650000000004,0.9480512931345003
Client Waiting Time [min],TaxiAlgorithmSinglePassenger,1685,27762,1,SPATIAL_IMBALANCE,10,11.979215,0.11729057260854166,11.714666666666666,12.1351,1.0
Client Waiting Time [min],TaxiAlgorithmSinglePassenger,1685,27762,1,SPATIAL_ISLANDS,10,14.69835,0.06258851657778264,14.614133333333333,14.76735,1.0
Custom Time [micros],TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,10,0.0,0.0,0.0,0.0,
Custom Time [micros],TaxiAlgorithmSinglePassenger,39,638,1,RUSH_HOUR,10,0.0,0.0,0.0,0.0,
Custom Time [micros],TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_IMBALANCE,10,0.0,0.0,0.0,0.0,
Custom Time [micros],TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_ISLANDS,10,0.0,0.0,0.0,0.0,
Custom Time [micros],TaxiAlgorithmSinglePassenger,1685,27762,1,BASELINE,10,0.0,0.0,0.0,0.0,
Custom Time [micros],TaxiAlgorithmSinglePassenger,1685,27762,1,RUSH_HOUR,10,0.0,0.0,0.0,0.0,
