metric,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,runs,avgMean,avgStd,avgMin,avgMax,sumMean,sumStd,countMean,countMin,countMax,spreadMean,spreadStd,communicationTimeMillisMean,rawRows,servedRatioMean
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,False,none,none,10,0.0191,0.0008755950357709137,0.018,0.02,1693.4,98.80418344719351,88542.7,87028,91554,16.7,2.213594362117866,6.45e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,True,past-avg,past-avg,10,0.0112,0.0012292725943057184,0.01,0.014,976.1,113.39650200366265,87259.1,86844,87792,31.9,22.057752479444602,7.110000000000001e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0214,0.0006992058987800996,0.02,0.022,1896.1,82.26846297336543,88695.8,87028,91554,31.9,2.469817807045694,6.35e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,True,past-avg-total,past-avg-total,10,0.011300000000000001,0.0011595018087284055,0.01,0.013,977.9,92.84688710153101,87326.7,86903,88024,30.5,21.06735230951752,7.280000000000001e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,True,random,random,10,0.0076,0.0008432740427115675,0.006,0.009,668.2,59.256129546983495,87057.1,86737,87412,4.9,7.445356494710871,9.439999999999999e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,False,none,none,10,0.0195,0.0008498365855987978,0.018,0.021,1723.5,85.13551289300815,88542.7,87028,91554,15.1,1.5951314818673863,6.759999999999999e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,True,past-avg,past-avg,10,0.011300000000000001,0.0009486832980505136,0.01,0.013,993.5,92.79397729498517,87259.1,86844,87792,38.2,20.17589320616727,6.97e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.021,0.0008164965809277256,0.019,0.022,1859.6,73.28665180872527,88695.8,87028,91554,33.5,10.895972752454103,6.47e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,True,past-avg-total,past-avg-total,10,0.0111,0.0011005049346146116,0.01,0.013,988.0,98.31807791268321,87326.7,86903,88024,41.6,14.668181739927943,7.29e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,True,random,random,10,0.0076,0.0005163977794943224,0.007,0.008,668.3,41.27966946465428,87057.1,86737,87412,7.2,6.663332499583073,9.13e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,1,4,0,1,2000,False,none,none,10,0.0196,0.0011737877907772685,0.018,0.021,1739.7,113.83618834877501,88542.7,87028,91554,13.3,4.83160888777687,6.97e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,1,4,0,1,2000,True,past-avg,past-avg,10,0.011300000000000001,0.0010593499054713802,0.01,0.013,980.1,93.02263762714489,87259.1,86844,87792,39.0,19.866219234335123,6.939999999999999e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,1,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0219,0.001100504934614611,0.02,0.023,1949.0,85.4478398400646,88695.8,87028,91554,33.5,2.9533408577782265,6.52e-05,10,
