window,tickBlockSize,series,selectedConfig,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,firstBlock,lastBlock,blocks,activeClientsMean,servedRequestsMean,finishedRequestsMean,meanBlockWaitingTime,waitingTimeMax,waitingTimeSum,waitingTimeCount,calculationTimeMillisMean,pooledClientWaitingTime
all,1000,Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,0,87,88,4.154285714285714,7.291428571428572,7.291428571428572,1.6900893321506094,4.947619047619048,10910.4,6380,0.002928769142857143,1.7100940438871473
all,1000,Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,RUSH_HOUR,0,87,88,4.224513172966781,7.308132875143184,7.308132875143184,1.728635663193298,7.466666666666667,12256.1,6380,0.002516193585337915,1.9210188087774296
all,1000,Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_IMBALANCE,0,87,88,4.313211845102506,7.266514806378132,7.266514806378132,3.2368565769407254,6.08,20986.866666666665,6380,0.002512215261958998,3.289477533960292
all,1000,Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_ISLANDS,0,87,88,4.850627137970354,7.274800456100342,7.274800456100342,3.5319229707074533,7.110185185185185,23297.116666666665,6380,0.0024995895096921327,3.6515856844305117
all,1000,Central,n/a,TaxiAlgorithmSinglePassenger,1685,27762,1,BASELINE,0,90,91,598.5351648351649,305.0769230769231,305.0769230769231,1.3169244251510697,2.3051282051282054,365503.43333333335,277620,0.6205437670329671,1.316560166174387
all,1000,Central,n/a,TaxiAlgorithmSinglePassenger,1685,27762,1,RUSH_HOUR,0,90,91,1319.2444933920706,289.86563876651985,305.7488986784141,25.868450675611474,137.67121749408983,10991428.833333334,263198,0.6379852720264317,41.76106518033318
all,1000,Central,n/a,TaxiAlgorithmSinglePassenger,1685,27762,1,SPATIAL_IMBALANCE,0,90,91,709.7252747252747,305.0769230769231,305.0769230769231,12.052749654422394,29.581481481481482,3325670.316666667,277620,0.6411980142857142,11.979217335446535
all,1000,Central,n/a,TaxiAlgorithmSinglePassenger,1685,27762,1,SPATIAL_ISLANDS,0,92,93,807.2874186550977,301.10629067245117,301.10629067245117,14.890162071225292,47.733333333333334,4080556.55,277620,0.5520524251626898,14.698352244074634
all,1000,Selected P2P,"k=0, r=3000, greedy, shortcuts=0, roam=past-avg, minN=0",TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_IMBALANCE,0,91,92,597.7901098901099,304.68461538461537,305.0769230769231,6.016006022608053,22.40741811175337,1679754.1166666667,277263,3.6863746384615386,6.058342139653205
all,1000,Selected P2P,"k=1, r=1000, greedy, shortcuts=1, roam=past-avg, minN=1",TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,87,88,4.434435575826682,7.248574686431015,7.274800456100342,2.5885448929002233,20.983333333333334,16343.2,6357,0.010934015963511972,2.570898222431965
