variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Taxi Travel Distance [km]
P2PCollector+nearest (k=0),0,BASELINE,5,1,5000,1,4,1,0.04,11115.82,113.9525,53.3675
P2PCollector+nearest (k=0),0,BASELINE,5,1,10000,1,4,1,0.03,5686.15,53.542500000000004,103.81
P2PCollector+nearest (k=0),0,BASELINE,10,1,5000,1,4,1,0.095,8102.505,67.1625,69.475
P2PCollector+nearest (k=0),0,BASELINE,10,1,10000,1,4,1,0.0775,2360.54,23.372500000000002,123.2575
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,5,1,5000,1,4,1,0.03,12416.83,97.055,22.6125
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,5,1,10000,1,4,1,0.03,6043.97,63.3775,81.52250000000001
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,10,1,5000,1,4,1,0.09,9328.89,106.57249999999999,43.3825
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,10,1,10000,1,4,1,0.08499999999999999,5186.755,60.254999999999995,86.9925
VehicleRouting,0,BASELINE,5,1,-1,-1,-1,-1,0.0275,2167.01,22.7225,177.125
VehicleRouting,0,BASELINE,10,1,-1,-1,-1,-1,0.10500000000000001,1687.775,18.455,154.5525
VehicleRouting,0,SPATIAL_IMBALANCE,5,1,-1,-1,-1,-1,0.015,1704.4,17.4575,154.3225
VehicleRouting,0,SPATIAL_IMBALANCE,10,1,-1,-1,-1,-1,0.10250000000000001,1593.815,16.4875,147.615
