metric,variant_k,spawnScenario,count,mean,median,std,min,max
Calculation Time [millis],P2PCollector+nearest (k=0),BASELINE,16,0.060625,0.060000000000000005,0.0279210195611359,0.03,0.1
Calculation Time [millis],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,16,0.05875,0.055,0.029860788111948193,0.03,0.09
Calculation Time [millis],VehicleRouting,BASELINE,8,0.06625,0.06,0.04897156609415596,0.01,0.16
Calculation Time [millis],VehicleRouting,SPATIAL_IMBALANCE,8,0.058750000000000004,0.055,0.05026714348643371,0.01,0.14
Client Travel Time [min],P2PCollector+nearest (k=0),BASELINE,16,6816.25375,6810.1900000000005,3633.0890476340287,1518.32,14337.68
Client Travel Time [min],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,16,8244.11125,8858.59,3228.6600515422815,3424.74,14111.16
Client Travel Time [min],VehicleRouting,BASELINE,8,1927.3925,1817.35,455.98850398259594,1460.78,2659.84
Client Travel Time [min],VehicleRouting,SPATIAL_IMBALANCE,8,1649.1075,1590.5,204.7783347741092,1477.06,2101.92
Client Waiting Time [min],P2PCollector+nearest (k=0),BASELINE,16,64.50750000000001,56.32,39.781400092673124,11.87,143.28
Client Waiting Time [min],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,16,81.815,78.315,29.874102496978885,25.27,136.92
Client Waiting Time [min],VehicleRouting,BASELINE,8,20.58875,19.810000000000002,4.300416715688309,15.19,26.33
Client Waiting Time [min],VehicleRouting,SPATIAL_IMBALANCE,8,16.9725,16.165,2.5044346382253333,14.75,22.65
Taxi Travel Distance [km],P2PCollector+nearest (k=0),BASELINE,16,87.47749999999999,76.86500000000001,30.566169861466133,30.15,133.26
Taxi Travel Distance [km],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,16,58.6275,49.31,30.130775518285844,7.69,96.01
Taxi Travel Distance [km],VehicleRouting,BASELINE,8,165.83875,162.255,21.83025779410639,140.87,207.1
Taxi Travel Distance [km],VehicleRouting,SPATIAL_IMBALANCE,8,150.96875,151.47,10.173100998642017,139.27,168.14
