algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],4,53.3675,13.631310235997123,30.15,64.72,111.39999999999999,53.19,163.04
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],4,113.9525,23.176019260218094,79.19,143.28,397.7175,294.43,473.90000000000003
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],4,11115.82,2001.3409641537849,9029.96,14337.68,27971.5,23236.0,34791.0
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],4,0.04,0.007071067811865477,0.03,0.05,35.25,24.0,44.0
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],4,69.475,3.8260521428752123,65.85,75.89,162.12,127.81000000000002,206.87
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],4,67.1625,16.736952194172034,53.29,95.78,401.6475,300.13,464.05
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,BASELINE,Client Travel Time [min],4,8102.505000000001,1411.2750956050347,6598.5,10168.4,28571.0,27323.0,30304.0
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,BASELINE,Calculation Time [millis],4,0.095,0.0050000000000000044,0.09,0.1,73.75,71.0,80.0
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,BASELINE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Taxi Travel Distance [km],4,22.6125,11.86754055185825,7.69,34.89,44.82000000000001,29.09,64.01
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Client Waiting Time [min],4,97.055,16.469062663066165,80.58,118.87,230.975,154.75,295.66999999999996
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Client Travel Time [min],4,12416.83,1259.0585862063765,10945.04,14111.16,27653.5,23066.0,34740.0
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Calculation Time [millis],4,0.03,0.0,0.03,0.03,30.0,0.0,59.0
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,SPATIAL_IMBALANCE,Taxi Travel Distance [km],4,43.3825,3.0886839835114257,39.65,48.24,99.5975,85.27,110.73
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,SPATIAL_IMBALANCE,Client Waiting Time [min],4,106.57249999999999,27.263381462137083,67.78,136.92,358.6225,310.96000000000004,454.28999999999996
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,SPATIAL_IMBALANCE,Client Travel Time [min],4,9328.89,420.58319331613825,8850.46,9935.68,24585.25,20544.0,27173.0
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,SPATIAL_IMBALANCE,Calculation Time [millis],4,0.09,0.0,0.09,0.09,66.5,53.0,81.0
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,SPATIAL_IMBALANCE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,10000,5,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],4,103.81,15.28560433872341,77.84,116.46,151.285,124.24000000000001,180.82
TaxiAlgorithmP2PCollector,0,10000,5,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],4,53.542500000000004,28.418140663139805,29.26,101.62,192.005,115.55,393.59
TaxiAlgorithmP2PCollector,0,10000,5,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],4,5686.150000000001,1407.192932721025,3814.76,7438.36,25057.5,21908.0,29934.0
TaxiAlgorithmP2PCollector,0,10000,5,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],4,0.03,0.0,0.03,0.03,11.0,0.0,26.0
TaxiAlgorithmP2PCollector,0,10000,5,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
