variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Taxi Travel Distance [km]
P2PCollector+nearest (k=0),0,BASELINE,5,1,5000,1,4,1,0.042499999999999996,7246.950000000001,76.15,187.45499999999998
P2PCollector+nearest (k=0),0,BASELINE,5,1,10000,1,4,1,0.03,4245.82,43.64,194.885
P2PCollector+nearest (k=0),0,BASELINE,10,1,5000,1,4,1,0.10250000000000001,3998.0299999999997,46.9375,226.245
P2PCollector+nearest (k=0),0,BASELINE,10,1,10000,1,4,1,0.0775,1769.62,14.9175,195.72
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,5,1,5000,1,4,1,0.0325,8889.83,81.3225,141.8375
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,5,1,10000,1,4,1,0.03,4886.66,58.7025,154.0
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,10,1,5000,1,4,1,0.10500000000000001,7840.135,74.085,125.52749999999999
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,10,1,10000,1,4,1,0.09,2958.475,33.3575,165.115
VehicleRouting,0,BASELINE,5,1,-1,-1,-1,-1,0.0275,2167.01,22.7225,177.125
VehicleRouting,0,BASELINE,10,1,-1,-1,-1,-1,0.10250000000000001,1687.775,18.455,154.5525
VehicleRouting,0,SPATIAL_IMBALANCE,5,1,-1,-1,-1,-1,0.015,1704.4,17.4575,154.3225
VehicleRouting,0,SPATIAL_IMBALANCE,10,1,-1,-1,-1,-1,0.10250000000000001,1593.815,16.4875,147.615
