metric,variant_k,spawnScenario,count,mean,median,std,min,max
Calculation Time [millis],P2PCollector+nearest (k=0),BASELINE,16,0.063125,0.065,0.030269621735330626,0.03,0.11
Calculation Time [millis],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,16,0.064375,0.06,0.03501785258978626,0.03,0.11
Calculation Time [millis],VehicleRouting,BASELINE,8,0.065,0.06,0.04629100498862757,0.01,0.15
Calculation Time [millis],VehicleRouting,SPATIAL_IMBALANCE,8,0.058750000000000004,0.055,0.05026714348643371,0.01,0.14
Client Travel Time [min],P2PCollector+nearest (k=0),BASELINE,16,4315.1050000000005,3898.32,2584.7269058941865,1623.06,11494.04
Client Travel Time [min],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,16,6143.775,5903.42,2942.000991266545,1709.92,11844.76
Client Travel Time [min],VehicleRouting,BASELINE,8,1927.3925,1817.35,455.98850398259594,1460.78,2659.84
Client Travel Time [min],VehicleRouting,SPATIAL_IMBALANCE,8,1649.1075,1590.5,204.7783347741092,1477.06,2101.92
Client Waiting Time [min],P2PCollector+nearest (k=0),BASELINE,16,45.411249999999995,43.3,27.749677445572825,11.72,108.9
Client Waiting Time [min],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,16,61.866875,51.155,36.013319520930956,14.34,157.21
Client Waiting Time [min],VehicleRouting,BASELINE,8,20.58875,19.810000000000002,4.300416715688309,15.19,26.33
Client Waiting Time [min],VehicleRouting,SPATIAL_IMBALANCE,8,16.9725,16.165,2.5044346382253333,14.75,22.65
Taxi Travel Distance [km],P2PCollector+nearest (k=0),BASELINE,16,201.07625,209.07999999999998,37.30637333843463,89.67,245.37
Taxi Travel Distance [km],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,16,146.62,159.415,42.039789564966505,54.76,207.03
Taxi Travel Distance [km],VehicleRouting,BASELINE,8,165.83875,162.255,21.83025779410639,140.87,207.1
Taxi Travel Distance [km],VehicleRouting,SPATIAL_IMBALANCE,8,150.96875,151.47,10.173100998642017,139.27,168.14
