algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],4,187.45499999999998,58.82481342936839,89.67,245.37,321.79499999999996,208.04,486.10999999999996
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],4,76.15,24.089858862185142,45.6,108.9,329.47749999999996,160.96,509.47999999999996
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],4,7246.950000000001,2487.165203258521,5161.88,11494.04,26282.25,19805.0,30356.0
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],4,0.0425,0.010897247358851683,0.03,0.06,37.5,27.0,43.0
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],4,226.245,6.477146362403745,215.13,230.77,426.2175,264.93,608.71
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],4,46.9375,13.819561091076661,28.79,66.63,296.115,227.45000000000002,447.28
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,BASELINE,Client Travel Time [min],4,3998.0299999999997,1088.1935258491478,2470.58,5140.48,17662.75,13497.0,26520.0
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,BASELINE,Calculation Time [millis],4,0.10250000000000001,0.0043301270189221915,0.1,0.11,52.5,37.0,75.0
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,BASELINE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Taxi Travel Distance [km],4,141.8375,56.65072125533797,54.76,207.03,240.4025,124.52,368.87
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Client Waiting Time [min],4,81.32249999999999,49.20252045119234,29.7,157.21,314.38,102.47,518.28
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Client Travel Time [min],4,8889.83,2277.0911650392923,5497.24,11844.76,26595.75,18965.0,34953.0
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Calculation Time [millis],4,0.0325,0.004330127018922195,0.03,0.04,35.25,14.0,67.0
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
