variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Taxi Travel Distance [km]
P2PCollector+nearest (k=0),0,BASELINE,5,1,1000,1,4,1,0.043,8011.9839999999995,46.075,38.424
P2PCollector+nearest (k=0),0,BASELINE,5,1,5000,1,4,1,0.028999999999999998,2270.048,21.737000000000002,86.767
P2PCollector+nearest (k=0),0,BASELINE,5,1,10000,1,4,1,0.023,1085.236,10.568999999999999,99.5
P2PCollector+nearest (k=0),0,BASELINE,5,1,20000,1,4,1,0.027000000000000003,1053.32,10.032,94.24
P2PCollector+nearest (k=0),0,BASELINE,10,1,1000,1,4,1,0.10700000000000001,9591.846,43.775,77.9835
P2PCollector+nearest (k=0),0,BASELINE,10,1,5000,1,4,1,0.0835,2765.027,26.2815,123.8125
P2PCollector+nearest (k=0),0,BASELINE,10,1,10000,1,4,1,0.056499999999999995,1704.583,17.329,114.625
P2PCollector+nearest (k=0),0,BASELINE,10,1,20000,1,4,1,0.0665,1611.352,15.847,110.7355
P2PCollector+nearest (k=0),0,BASELINE,20,1,1000,1,4,1,0.442,15744.304999999998,109.6715,216.15950000000004
P2PCollector+nearest (k=0),0,BASELINE,20,1,5000,1,4,1,0.38849999999999996,5809.984,66.82300000000001,273.1185
P2PCollector+nearest (k=0),0,BASELINE,20,1,10000,1,4,1,0.3215,3853.3535,41.794,231.43649999999997
P2PCollector+nearest (k=0),0,BASELINE,20,1,20000,1,4,1,0.29,3458.0815000000002,35.678,202.816
P2PCollector+nearest (k=1),1,BASELINE,5,1,1000,1,4,1,0.033,6513.647999999999,30.774,76.196
P2PCollector+nearest (k=1),1,BASELINE,5,1,5000,1,4,1,0.026000000000000002,1678.78,15.238,104.87100000000001
P2PCollector+nearest (k=1),1,BASELINE,5,1,10000,1,4,1,0.020999999999999998,1116.66,10.781,100.85499999999999
P2PCollector+nearest (k=1),1,BASELINE,5,1,20000,1,4,1,0.019,1181.9360000000001,12.092,102.09100000000001
P2PCollector+nearest (k=1),1,BASELINE,10,1,1000,1,4,1,0.1115,8423.555,51.827999999999996,112.5325
P2PCollector+nearest (k=1),1,BASELINE,10,1,5000,1,4,1,0.076,2322.29,22.93,136.4845
P2PCollector+nearest (k=1),1,BASELINE,10,1,10000,1,4,1,0.047,1650.9540000000002,16.0115,108.102
P2PCollector+nearest (k=1),1,BASELINE,10,1,20000,1,4,1,0.043,1644.547,16.2645,106.103
P2PCollector+nearest (k=1),1,BASELINE,20,1,1000,1,4,1,0.4495,15214.045499999998,120.73150000000001,255.618
P2PCollector+nearest (k=1),1,BASELINE,20,1,5000,1,4,1,0.3815,5210.378,61.067499999999995,289.5995
