algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,38.424,14.904506164244426,25.1,75.4,69.394,33.45,103.32
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,46.075,79.37047602855864,6.88,278.23,45.062,0.0,263.77
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,8011.9839999999995,902.0001880620647,6328.44,9188.24,15707.3,11944.0,18701.0
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.043,0.012688577540449518,0.03,0.08,27.1,10.0,39.0
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,41.658,14.60719808861371,16.58,63.86,126.981,45.22,193.7
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,26.678000000000004,12.369043455336389,9.53,53.32,101.792,24.17,234.07
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,5899.223999999999,1804.1401402950935,3304.88,8357.8,15332.0,12982.0,17756.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.10400000000000001,0.004898979485566354,0.1,0.11,44.2,22.0,64.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,114.309,28.942189775481747,76.31,186.08,355.454,211.15,626.44
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,60.872,16.769569344500173,37.29,87.33,218.517,122.23,387.25
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,13284.467999999999,1250.7921753896608,11262.88,15064.08,35283.3,29290.0,38343.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.11000000000000001,1.3877787807814457E-17,0.11,0.11,98.3,78.0,122.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,118.31299999999999,17.096850616414706,89.33,144.18,404.801,249.82,654.16
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,66.788,22.888389108890994,31.98,106.04,356.581,101.86999999999999,511.9
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,8995.569999999998,1442.2909289113622,7235.18,12090.62,34090.5,29491.0,38557.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.42800000000000005,0.007483314773547889,0.42,0.44,177.4,154.0,193.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,314.006,61.89006288573312,223.55,437.62,995.972,559.3199999999999,1435.86
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,152.555,27.600870729018677,96.87,183.3,643.0220000000002,291.61,1136.17
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,22493.04,2594.707064822539,18390.97,26697.42,72540.6,61487.0,77765.0
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.45600000000000007,0.004898979485566361,0.45,0.46,185.6,174.0,202.0
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,86.76700000000001,14.778972934544537,68.81,116.91,120.042,73.53,197.5
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,21.737000000000002,9.897467403331017,10.07,41.13,94.72400000000002,32.260000000000005,206.28
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,2270.048,951.4465550602409,1065.48,4184.04,8244.5,2426.0,17674.0
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.029000000000000005,0.005385164807134504,0.02,0.04,11.9,0.0,56.0
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,5000,10,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,70.23499999999999,6.515239443028937,61.42,80.76,84.765,22.9,105.9
TaxiAlgorithmP2PCollector,0,5000,10,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,6.151999999999999,1.4195548598064114,4.33,9.05,31.49,9.8,68.45
TaxiAlgorithmP2PCollector,0,5000,10,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,834.1960000000001,87.64636845871026,722.36,997.32,2352.3,1047.0,4472.0
TaxiAlgorithmP2PCollector,0,5000,10,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.06300000000000001,0.013453624047073712,0.04,0.08,6.3,0.0,33.0
TaxiAlgorithmP2PCollector,0,5000,10,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,177.39,30.309852853486444,141.31,238.81,347.616,226.79,476.56
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,46.411,12.928383851046505,28.55,65.46,263.122,121.88,480.18
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,4695.858000000001,1172.6254962075488,3035.64,6718.94,25379.5,7489.0,34816.0
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.10400000000000001,0.004898979485566354,0.1,0.11,69.3,38.0,106.0
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,5000,20,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,117.38699999999999,14.608216215541175,98.47,148.55,184.64000000000001,137.87,247.61
TaxiAlgorithmP2PCollector,0,5000,20,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,19.586,5.531591452737629,12.32,27.49,101.24800000000002,42.89,145.2
TaxiAlgorithmP2PCollector,0,5000,20,50,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,2076.7160000000003,317.3538329120983,1555.72,2512.88,6803.1,3077.0,9392.0
TaxiAlgorithmP2PCollector,0,5000,20,50,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.34299999999999997,0.0268514431641951,0.3,0.38,66.1,29.0,78.0
TaxiAlgorithmP2PCollector,0,5000,20,50,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,5000,20,100,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,428.8499999999999,37.3852294362359,376.33,509.59,1067.749,777.78,1544.98
TaxiAlgorithmP2PCollector,0,5000,20,100,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,114.05999999999999,14.07138728057756,94.84,142.16,626.2090000000001,362.07,1132.35
TaxiAlgorithmP2PCollector,0,5000,20,100,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,9543.251999999999,1354.2730454291707,7863.33,12682.79,49961.0,35501.0,72103.0
TaxiAlgorithmP2PCollector,0,5000,20,100,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.434,0.006633249580710805,0.42,0.44,184.6,169.0,205.0
TaxiAlgorithmP2PCollector,0,5000,20,100,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,10000,5,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,99.5,7.107463682636726,86.44,115.0,48.136,9.680000000000007,94.61999999999999
TaxiAlgorithmP2PCollector,0,10000,5,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,10.568999999999999,2.218776464630901,5.56,13.28,40.97,11.99,55.730000000000004
TaxiAlgorithmP2PCollector,0,10000,5,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,1085.2359999999999,156.54077393446093,734.92,1277.16,2654.5,1058.0,3580.0
TaxiAlgorithmP2PCollector,0,10000,5,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.023,0.0078102496759066544,0.01,0.04,4.0,0.0,40.0
TaxiAlgorithmP2PCollector,0,10000,5,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,10000,10,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,57.376,10.656364483256006,36.98,70.8,51.82899999999999,33.37,72.36999999999999
TaxiAlgorithmP2PCollector,0,10000,10,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,4.347999999999999,0.9455241932388617,2.4,5.48,11.768,5.24,20.150000000000002
TaxiAlgorithmP2PCollector,0,10000,10,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,725.252,89.953926073296,531.76,869.84,1102.7,786.0,1346.0
TaxiAlgorithmP2PCollector,0,10000,10,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.025,0.009219544457292887,0.01,0.04,2.4,0.0,24.0
TaxiAlgorithmP2PCollector,0,10000,10,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
