variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Taxi Travel Distance [km]
P2PCollector+nearest (k=0),0,BASELINE,5,1,1000,1,4,1,n/a,0.034999999999999996,17737.872,159.0,6.181
P2PCollector+nearest (k=0),0,BASELINE,5,1,5000,1,4,1,n/a,0.03,11539.22,104.13399999999999,52.681000000000004
P2PCollector+nearest (k=0),0,BASELINE,5,1,10000,1,4,1,n/a,0.027999999999999997,4840.168,43.071,110.785
P2PCollector+nearest (k=0),0,BASELINE,5,1,20000,1,4,1,n/a,0.026000000000000002,2871.064,32.596999999999994,141.123
P2PCollector+nearest (k=0),0,BASELINE,10,1,1000,1,4,1,n/a,0.097,15955.412,156.623,10.702
P2PCollector+nearest (k=0),0,BASELINE,10,1,5000,1,4,1,n/a,0.0895,7265.519,69.00399999999999,59.35
P2PCollector+nearest (k=0),0,BASELINE,10,1,10000,1,4,1,n/a,0.0795,2777.0150000000003,28.857,92.003
P2PCollector+nearest (k=0),0,BASELINE,10,1,20000,1,4,1,n/a,0.075,2069.454,19.979499999999998,102.795
P2PCollector+nearest (k=0),0,BASELINE,20,1,1000,1,4,1,n/a,0.37,14698.714499999998,149.78699999999998,16.9535
P2PCollector+nearest (k=0),0,BASELINE,20,1,5000,1,4,1,n/a,0.34199999999999997,4028.7230000000004,43.397000000000006,75.175
P2PCollector+nearest (k=0),0,BASELINE,20,1,10000,1,4,1,n/a,0.294,2010.0465,18.339,93.3005
P2PCollector+nearest (k=0),0,BASELINE,20,1,20000,1,4,1,n/a,0.2725,1880.9669999999999,16.537,99.736
P2PCollector+nearest (k=1),1,BASELINE,5,1,1000,1,4,1,n/a,0.03,17737.872,159.0,6.181
P2PCollector+nearest (k=1),1,BASELINE,5,1,5000,1,4,1,n/a,0.03,11481.192,108.08800000000001,53.458000000000006
P2PCollector+nearest (k=1),1,BASELINE,5,1,10000,1,4,1,n/a,0.028999999999999998,4399.468,41.043,115.018
P2PCollector+nearest (k=1),1,BASELINE,5,1,20000,1,4,1,n/a,0.023,2773.232,31.893,151.421
P2PCollector+nearest (k=1),1,BASELINE,10,1,1000,1,4,1,n/a,0.0945,15955.412,156.623,10.702
P2PCollector+nearest (k=1),1,BASELINE,10,1,5000,1,4,1,n/a,0.09,7142.299000000001,69.837,61.148
P2PCollector+nearest (k=1),1,BASELINE,10,1,10000,1,4,1,n/a,0.0755,2576.1169999999997,25.357,95.4395
P2PCollector+nearest (k=1),1,BASELINE,10,1,20000,1,4,1,n/a,0.05700000000000001,2070.7889999999998,19.851,117.38550000000001
P2PCollector+nearest (k=1),1,BASELINE,20,1,1000,1,4,1,n/a,0.368,14665.925,149.858,17.175
P2PCollector+nearest (k=1),1,BASELINE,20,1,5000,1,4,1,n/a,0.34249999999999997,4024.9595,41.841,75.8535
P2PCollector+nearest (k=1),1,BASELINE,20,1,10000,1,4,1,n/a,0.253,1880.654,16.467,100.267
P2PCollector+nearest (k=1),1,BASELINE,20,1,20000,1,4,1,n/a,0.203,1935.4735,17.3535,115.71549999999999
P2PCollector+nearest (k=2),2,BASELINE,5,1,1000,1,4,1,n/a,0.03,17737.872,159.0,6.181
P2PCollector+nearest (k=2),2,BASELINE,5,1,5000,1,4,1,n/a,0.03,11481.192,108.08800000000001,53.458000000000006
P2PCollector+nearest (k=2),2,BASELINE,5,1,10000,1,4,1,n/a,0.03,4544.268,49.207,117.833
P2PCollector+nearest (k=2),2,BASELINE,5,1,20000,1,4,1,n/a,0.025,2770.312,31.624000000000002,157.328
P2PCollector+nearest (k=2),2,BASELINE,10,1,1000,1,4,1,n/a,0.094,15955.412,156.623,10.702
P2PCollector+nearest (k=2),2,BASELINE,10,1,5000,1,4,1,n/a,0.089,7033.733,64.52000000000001,62.11800000000001
P2PCollector+nearest (k=2),2,BASELINE,10,1,10000,1,4,1,n/a,0.077,2773.972,28.3085,97.80449999999999
P2PCollector+nearest (k=2),2,BASELINE,10,1,20000,1,4,1,n/a,0.058499999999999996,2188.8239999999996,21.8475,123.7705
P2PCollector+nearest (k=2),2,BASELINE,20,1,1000,1,4,1,n/a,0.365,14665.925,149.858,17.175
P2PCollector+nearest (k=2),2,BASELINE,20,1,5000,1,4,1,n/a,0.344,4056.9165000000003,41.111000000000004,76.634
P2PCollector+nearest (k=2),2,BASELINE,20,1,10000,1,4,1,n/a,0.2525,1906.7015,16.85,105.252
P2PCollector+nearest (k=2),2,BASELINE,20,1,20000,1,4,1,n/a,0.21000000000000002,2006.0529999999999,18.521,120.1645
P2PCollector+nearest (k=5),5,BASELINE,5,1,1000,1,4,1,n/a,0.03,17737.872,159.0,6.181
P2PCollector+nearest (k=5),5,BASELINE,5,1,5000,1,4,1,n/a,0.03,11481.192,108.08800000000001,53.458000000000006
P2PCollector+nearest (k=5),5,BASELINE,5,1,10000,1,4,1,n/a,0.03,4190.264,43.46,119.873
P2PCollector+nearest (k=5),5,BASELINE,5,1,20000,1,4,1,n/a,0.027999999999999997,2774.804,31.705000000000002,158.459
