algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,6.180999999999999,4.238052500854608,0.0,11.87,21.837,0.0,38.75
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,159.0,145.5736476839129,0.0,491.45,163.818,0.0,451.8
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,17737.872,1492.4497029300517,14238.32,19504.16,32491.6,27092.0,36950.0
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.03500000000000001,0.012041594578792296,0.03,0.07,44.3,33.0,60.0
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,7.453,4.0320616314734075,1.58,13.66,32.260000000000005,11.89,50.98
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,150.62599999999998,56.782669398329624,74.01,289.7,278.844,15.399999999999977,436.03
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,15833.596,2030.3831344019775,11930.36,18086.28,31560.8,25689.0,38462.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.09399999999999999,0.004898979485566361,0.09,0.1,78.2,55.0,102.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,13.951000000000002,6.368670897447912,3.42,23.87,42.321,17.36,75.32
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,162.62,37.26277230695537,89.74,210.24,422.2169999999999,242.58999999999997,586.6
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,16077.228000000003,903.7895498045995,14365.3,17229.38,34921.7,29360.0,38657.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.09999999999999999,1.3877787807814457E-17,0.1,0.1,85.7,70.0,108.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,11.952000000000002,5.259568043100117,5.74,23.06,47.475,29.97,80.6
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,155.152,47.452340258410864,109.51,253.38,444.066,248.98999999999998,594.9799999999999
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,14459.12,1146.6931212142154,12794.78,16228.4,33459.2,30066.0,38191.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.362,0.007483314773547889,0.35,0.37,167.6,151.0,194.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,21.955000000000002,3.6245917011437294,18.47,30.36,68.17500000000001,43.4,81.78
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,144.422,20.250833958136145,101.72,173.43,509.69699999999995,317.67,612.85
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,14938.309000000003,752.7557703857208,13966.78,16099.01,36162.0,31580.0,38657.0
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.37800000000000006,0.010770329614269016,0.37,0.4,175.2,164.0,196.0
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,52.681000000000004,13.745828785489799,33.42,75.58,89.424,68.09,116.35999999999999
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,104.13399999999999,29.142841385149804,57.38,167.05,444.40599999999995,243.68,559.69
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,11539.220000000001,2374.1688711799757,6441.44,13869.76,30722.2,18344.0,38605.0
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.030000000000000006,6.938893903907228E-18,0.03,0.03,26.9,0.0,56.0
TaxiAlgorithmP2PCollector,0,5000,5,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,5000,10,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,39.727000000000004,5.7221919751088395,26.13,47.34,94.38199999999998,40.06,160.43
TaxiAlgorithmP2PCollector,0,5000,10,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,66.72999999999999,17.914349555593695,28.23,91.45,418.41999999999996,156.17000000000002,557.6999999999999
TaxiAlgorithmP2PCollector,0,5000,10,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,7263.1,1320.6835598885903,4698.28,10108.72,28285.4,24044.0,33318.0
TaxiAlgorithmP2PCollector,0,5000,10,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.089,0.005385164807134504,0.08,0.1,68.1,49.0,95.0
TaxiAlgorithmP2PCollector,0,5000,10,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,5000,10,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,78.973,6.807426900084937,64.83,87.69,155.32999999999998,92.69,183.85
