variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Taxi Travel Distance [km]
P2PCollector+nearest (k=0),0,BASELINE,5,1,1000,1,4,1,0.041999999999999996,16064.332,47.497,100.09700000000001
P2PCollector+nearest (k=0),0,BASELINE,5,1,5000,1,4,1,0.031,6552.688,52.568000000000005,172.709
P2PCollector+nearest (k=0),0,BASELINE,5,1,10000,1,4,1,0.031,3827.6240000000007,38.062,173.934
P2PCollector+nearest (k=0),0,BASELINE,5,1,20000,1,4,1,0.024,2752.088,31.737000000000002,167.428
P2PCollector+nearest (k=0),0,BASELINE,10,1,1000,1,4,1,0.11950000000000001,12720.634,46.167500000000004,106.252
P2PCollector+nearest (k=0),0,BASELINE,10,1,5000,1,4,1,0.10700000000000001,4460.112999999999,43.317,148.0275
P2PCollector+nearest (k=0),0,BASELINE,10,1,10000,1,4,1,0.077,2124.849,20.847,138.625
P2PCollector+nearest (k=0),0,BASELINE,10,1,20000,1,4,1,0.078,1979.0549999999998,18.274,132.5675
P2PCollector+nearest (k=0),0,BASELINE,20,1,1000,1,4,1,0.4655,9736.89,60.1035,129.301
P2PCollector+nearest (k=0),0,BASELINE,20,1,5000,1,4,1,0.39,2480.0865000000003,24.1565,163.32750000000001
P2PCollector+nearest (k=0),0,BASELINE,20,1,10000,1,4,1,0.2905,1787.3854999999999,14.9695,136.435
P2PCollector+nearest (k=0),0,BASELINE,20,1,20000,1,4,1,0.303,1849.5305,16.023,131.586
P2PCollector+nearest (k=1),1,BASELINE,5,1,1000,1,4,1,0.04,15299.48,83.898,145.246
P2PCollector+nearest (k=1),1,BASELINE,5,1,5000,1,4,1,0.033999999999999996,6465.996,51.585,196.91500000000002
P2PCollector+nearest (k=1),1,BASELINE,5,1,10000,1,4,1,0.027999999999999997,4081.2160000000003,36.943,176.957
P2PCollector+nearest (k=1),1,BASELINE,5,1,20000,1,4,1,0.024,2705.268,30.71,169.811
P2PCollector+nearest (k=1),1,BASELINE,10,1,1000,1,4,1,0.1165,12594.435000000001,72.6905,132.29149999999998
P2PCollector+nearest (k=1),1,BASELINE,10,1,5000,1,4,1,0.1025,3752.549,39.0185,172.3475
P2PCollector+nearest (k=1),1,BASELINE,10,1,10000,1,4,1,0.0765,2137.569,20.9865,136.076
P2PCollector+nearest (k=1),1,BASELINE,10,1,20000,1,4,1,0.06,2077.725,19.82,129.8
P2PCollector+nearest (k=1),1,BASELINE,20,1,1000,1,4,1,0.45499999999999996,8315.2605,68.744,158.6535
P2PCollector+nearest (k=1),1,BASELINE,20,1,5000,1,4,1,0.374,2320.7084999999997,23.429499999999997,161.8325
P2PCollector+nearest (k=1),1,BASELINE,20,1,10000,1,4,1,0.2695,1785.5790000000002,14.838999999999999,133.4765
P2PCollector+nearest (k=1),1,BASELINE,20,1,20000,1,4,1,0.21600000000000003,1931.964,17.3,125.9145
P2PCollector+nearest (k=2),2,BASELINE,5,1,1000,1,4,1,0.04,16389.56,38.552,105.96300000000001
P2PCollector+nearest (k=2),2,BASELINE,5,1,5000,1,4,1,0.036,6539.752,53.035000000000004,202.39100000000002
P2PCollector+nearest (k=2),2,BASELINE,5,1,10000,1,4,1,0.027999999999999997,3269.232,38.513,189.33599999999998
P2PCollector+nearest (k=2),2,BASELINE,5,1,20000,1,4,1,0.025,2774.408,31.979000000000003,173.119
P2PCollector+nearest (k=2),2,BASELINE,10,1,1000,1,4,1,0.1135,11730.313,70.343,156.475
P2PCollector+nearest (k=2),2,BASELINE,10,1,5000,1,4,1,0.1005,4045.9440000000004,42.4195,174.634
P2PCollector+nearest (k=2),2,BASELINE,10,1,10000,1,4,1,0.0775,2185.768,20.9165,147.7465
P2PCollector+nearest (k=2),2,BASELINE,10,1,20000,1,4,1,0.061,2172.891,21.521,132.0925
P2PCollector+nearest (k=2),2,BASELINE,20,1,1000,1,4,1,0.4385,7228.4765,63.451,187.659
P2PCollector+nearest (k=2),2,BASELINE,20,1,5000,1,4,1,0.348,2237.597,22.5105,158.36100000000002
P2PCollector+nearest (k=2),2,BASELINE,20,1,10000,1,4,1,0.2485,1795.5794999999998,15.008000000000001,131.2765
P2PCollector+nearest (k=2),2,BASELINE,20,1,20000,1,4,1,0.223,2035.3880000000001,19.003,129.8695
P2PCollector+nearest (k=5),5,BASELINE,5,1,1000,1,4,1,0.039,14253.912,67.296,141.796
P2PCollector+nearest (k=5),5,BASELINE,5,1,5000,1,4,1,0.034999999999999996,6323.872,61.778999999999996,204.447
P2PCollector+nearest (k=5),5,BASELINE,5,1,10000,1,4,1,0.031,3391.0879999999997,39.33,203.253
P2PCollector+nearest (k=5),5,BASELINE,5,1,20000,1,4,1,0.033,2794.0919999999996,32.13,169.059
P2PCollector+nearest (k=5),5,BASELINE,10,1,1000,1,4,1,0.11299999999999999,11225.636999999999,76.49199999999999,175.707
P2PCollector+nearest (k=5),5,BASELINE,10,1,5000,1,4,1,0.1,3307.454,35.099000000000004,182.85150000000002
P2PCollector+nearest (k=5),5,BASELINE,10,1,10000,1,4,1,0.076,2114.478,20.515,145.1625
P2PCollector+nearest (k=5),5,BASELINE,10,1,20000,1,4,1,0.0655,2257.1,22.975,136.7575
P2PCollector+nearest (k=5),5,BASELINE,20,1,1000,1,4,1,0.4415,7139.5955,74.173,223.7575
P2PCollector+nearest (k=5),5,BASELINE,20,1,5000,1,4,1,0.35,2217.625,22.346,172.1055
P2PCollector+nearest (k=5),5,BASELINE,20,1,10000,1,4,1,0.246,1917.5114999999998,17.076,136.5815
P2PCollector+nearest (k=5),5,BASELINE,20,1,20000,1,4,1,0.2785,2178.964,21.512,134.58350000000002
SinglePassenger,0,BASELINE,5,1,-1,-1,-1,-1,0.0,3251.04,39.935,193.621
SinglePassenger,0,BASELINE,10,1,-1,-1,-1,-1,0.0,2185.884,21.5885,131.768
SinglePassenger,0,BASELINE,20,1,-1,-1,-1,-1,0.0,2078.077,19.753,129.002
VehicleRouting,0,BASELINE,5,1,-1,-1,-1,-1,0.10900000000000001,3043.424,25.741000000000003,169.799
VehicleRouting,0,BASELINE,10,1,-1,-1,-1,-1,0.6639999999999999,2326.538,19.861,121.2565
VehicleRouting,0,BASELINE,20,1,-1,-1,-1,-1,7.5985,2151.286,17.9855,112.3555
