algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,100.09700000000001,65.20048267459376,36.68,223.9,210.436,66.39,543.5899999999999
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,47.497,35.61430500515207,4.31,112.07,111.718,0.0,329.53999999999996
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,16064.332000000004,2434.806355112455,11234.24,19340.6,33404.6,27228.0,37479.0
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.041999999999999996,0.005999999999999999,0.04,0.06,48.2,27.0,68.0
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,101.304,24.338267070603035,65.39,144.21,324.707,184.56,510.31
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,47.895,21.350275056776198,21.55,89.05,146.15900000000002,64.78,270.8
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,12395.34,1961.027588525975,9185.8,15842.64,32317.0,27975.0,37611.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.11800000000000002,0.003999999999999998,0.11,0.12,90.2,71.0,116.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,111.20000000000002,43.695979677768975,39.05,186.35,271.64400000000006,117.77000000000001,512.58
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,44.44000000000001,19.888463490174402,9.71,79.87,171.142,12.690000000000001,396.29
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,13045.928,2565.7333195669426,9046.46,17863.88,34978.6,29454.0,38131.0
