taxiCount,clientCount,taxiSeatCount,spawnScenario,configurations,currentPass,withTravelTime,thresholdPct,atLeastEightSeeds,allSeeds,withTravelAtLeastEightSeeds
39,638,1,BASELINE,360,0,0,0,0,0,0
39,638,1,RUSH_HOUR,360,0,0,0,0,0,0
39,638,1,SPATIAL_IMBALANCE,360,0,0,0,0,0,0
39,638,1,SPATIAL_ISLANDS,360,0,0,0,0,0,0
1685,27762,1,BASELINE,360,0,0,0,0,0,0
1685,27762,1,RUSH_HOUR,360,232,232,0,216,216,216
1685,27762,1,SPATIAL_IMBALANCE,360,0,0,0,0,0,0
1685,27762,1,SPATIAL_ISLANDS,360,0,0,0,0,0,0
39,638,1,BASELINE,360,0,0,5,0,0,0
39,638,1,RUSH_HOUR,360,0,0,5,0,0,0
39,638,1,SPATIAL_IMBALANCE,360,0,0,5,0,0,0
39,638,1,SPATIAL_ISLANDS,360,0,0,5,0,0,0
1685,27762,1,BASELINE,360,0,0,5,0,0,0
1685,27762,1,RUSH_HOUR,360,288,288,5,284,284,284
1685,27762,1,SPATIAL_IMBALANCE,360,8,8,5,0,0,0
1685,27762,1,SPATIAL_ISLANDS,360,0,0,5,0,0,0
39,638,1,BASELINE,360,0,0,10,0,0,0
39,638,1,RUSH_HOUR,360,0,0,10,0,0,0
39,638,1,SPATIAL_IMBALANCE,360,0,0,10,0,0,0
39,638,1,SPATIAL_ISLANDS,360,0,0,10,0,0,0
1685,27762,1,BASELINE,360,0,0,10,0,0,0
1685,27762,1,RUSH_HOUR,360,288,288,10,288,288,288
1685,27762,1,SPATIAL_IMBALANCE,360,48,48,10,48,48,48
1685,27762,1,SPATIAL_ISLANDS,360,0,0,10,0,0,0
39,638,1,BASELINE,360,0,0,15,0,0,0
39,638,1,RUSH_HOUR,360,0,0,15,0,0,0
39,638,1,SPATIAL_IMBALANCE,360,20,20,15,0,0,0
39,638,1,SPATIAL_ISLANDS,360,64,64,15,32,24,32
1685,27762,1,BASELINE,360,0,0,15,0,0,0
1685,27762,1,RUSH_HOUR,360,288,288,15,288,288,288
1685,27762,1,SPATIAL_IMBALANCE,360,72,72,15,72,72,72
1685,27762,1,SPATIAL_ISLANDS,360,0,0,15,0,0,0
