taxiCount,clientCount,taxiSeatCount,spawnScenario,moderation,factor,factorFrom,factorTo,moderator,moderatorFrom,moderatorTo,outcome,effectScale,scope,seeds,effectAtModeratorFromMean,effectAtModeratorToMean,interactionMean,interactionStd,ci95Low,ci95High,sameDirectionSeeds,pValue,pValueHolm
39.0,638.0,1.0,BASELINE,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,distance,relative percent,city-scenario,10,0.657777542583522,0.4485838703946653,-0.20919367218885654,1.1554702690502525,-1.03576730881816,0.617379964440447,4,0.580988670086606,1.0
39.0,638.0,1.0,BASELINE,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario,10,-0.014890282131662103,-0.0015673981191210995,0.013322884012541003,0.09704727578993194,-0.05610055493114184,0.08274632295622385,6,0.6744188737673457,1.0
39.0,638.0,1.0,BASELINE,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario,10,-0.5933875756503149,0.5656463923309618,1.159033967981277,1.7321388140042475,-0.08006349474711438,2.398131430709668,8,0.06344961868414732,1.0
39.0,638.0,1.0,BASELINE,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,distance,relative percent,city-scenario,10,98.61811787271635,9.44520492872359,-89.17291294399277,7.0849172004842575,-94.24115739171476,-84.10466849627078,10,1.9848227457289992e-11,1.1511971925228196e-09
39.0,638.0,1.0,BASELINE,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario,10,3.7787356321839107,0.002612330198537016,-3.7761233019853733,1.118082919903839,-4.575951640206192,-2.976294963764554,10,2.0640475301630334e-06,8.049785367635831e-05
39.0,638.0,1.0,BASELINE,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario,10,-59.826522760937976,-0.18013883351900462,59.64638392741897,6.37046911456707,55.08922485192799,64.20354300290995,10,2.792597410110008e-10,1.424224679156104e-08
39.0,638.0,1.0,BASELINE,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,distance,relative percent,city-scenario,10,0.0,0.04489978405310513,0.04489978405310513,0.11660264343438688,-0.03851272218417949,0.12831229029038976,6,0.254303930594965,1.0
39.0,638.0,1.0,BASELINE,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,pickup,percentage points,city-scenario,10,0.0,0.016718913270635793,0.016718913270635793,0.04141822778458866,-0.012909902008867848,0.04634772855013944,6,0.2337356796916864,1.0
39.0,638.0,1.0,BASELINE,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,waiting,relative percent,city-scenario,10,0.0,-0.17636791072238256,-0.17636791072238256,0.8978726317125311,-0.8186672985158671,0.46593147707110194,7,0.5498995723626907,1.0
39.0,638.0,1.0,RUSH_HOUR,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,distance,relative percent,city-scenario,10,-0.4202066761014357,0.05517329856298603,0.47537997466442167,1.396677966986465,-0.5237432544611009,1.4745032037899442,5,0.3097851621159009,1.0
