level,waitingAvgMean,travelAvgMean,distanceAvgMean,servedRatio,calculationAvgMean,communicationAvgMean,kmPerServedClient,calculationMsPerServedClient,pickupPct,communicationSharePct,factor,basis
1000,25.512912512152777,43.63167976041667,235.2646102971875,0.8993374429073833,3.225406458333333,204.36944125,15.277609282131078,16.599441375767345,89.93374429073833,6.336238359106034,p2pRqsRadius,equal-weight configuration means
2000,20.44361597916667,38.284169765625,228.12119446072919,0.9507697411902688,3.0310279166666665,574.9627998958333,14.51887157802891,13.505627390213075,95.07697411902689,18.9692347185024,p2pRqsRadius,equal-weight configuration means
3000,18.048531928819443,36.02201622569444,234.70675028416665,0.9671838524109281,3.4632127083333333,1324.0743339583335,14.759023729997402,14.1358006517009,96.7183852410928,38.23254433007502,p2pRqsRadius,equal-weight configuration means
0,22.493294395833335,40.60944139583333,229.81019090833334,0.9318859908039052,2.5378863541666665,197.88750697916666,14.74407215731169,12.421039329181655,93.18859908039052,7.7973352374221845,kHops,equal-weight configuration means
1,21.54302413888889,39.48287935590278,232.38189248135416,0.9389395373319694,3.235848854166667,589.5023201041666,14.840860140853286,14.842837338379304,93.89395373319694,18.217857096294505,kHops,equal-weight configuration means
2,19.968741885416666,37.845545,235.90047165239585,0.9464655083727055,3.945911875,1316.0167480208333,14.970572291992413,16.976992750120356,94.64655083727055,33.35139733755035,kHops,equal-weight configuration means
greedy,21.33406682986111,39.31303048958333,232.7084242720833,0.9390906406547382,3.246048333333333,706.4462653472223,14.85269462576261,14.782384613460538,93.90906406547383,21.763270068803315,p2pStrategy,equal-weight configuration means
nearest,21.33597345023148,39.312213344907406,232.68661242263886,0.9391033836843151,3.233716388888889,695.8247847222221,14.85097510100898,14.711528331660343,93.91033836843151,21.517804935308778,p2pStrategy,equal-weight configuration means
0,21.341927614583334,39.322795311342595,232.68012521583333,0.938995904642489,3.2344513194444446,699.3335977777778,14.85118043072646,14.727533472517072,93.8995904642489,21.62139815101303,p2pOverlayMinNeighbors,equal-weight configuration means
1,21.32811266550926,39.30244852314815,232.7149114788889,0.9391981196965645,3.2453134027777777,702.9374522916667,14.85248929604513,14.766379472603807,93.91981196965645,21.660079168008792,p2pOverlayMinNeighbors,equal-weight configuration means
0,22.271435490740743,40.34499433449074,230.349302833125,0.933639498520426,3.1103052083333336,535.8899186805555,14.764087116426618,14.785722589741729,93.36394985204261,17.22949623222712,p2pOverlayShortcuts,equal-weight configuration means
1,20.39860478935185,38.280249500000004,235.04573386159723,0.9445545258186273,3.369459513888889,866.3811313888889,14.939582610344976,14.708190355379148,94.45545258186273,25.71276276855892,p2pOverlayShortcuts,equal-weight configuration means
none,35.393795625,54.08554881944444,131.8267148611111,0.8602227086144805,3.246833159722222,739.0920739583333,9.186289668973972,19.11870007570004,86.02227086144805,22.76347559606559,idleRoamingMode,equal-weight configuration means
past-avg,12.163725850694444,29.639954230324072,214.5405236159722,0.9905748544914891,3.2235302083333335,695.1057664930555,13.214258274196466,11.681752335746456,99.05748544914891,21.563494726871106,idleRoamingMode,equal-weight configuration means
past-avg-revisit,33.803607236689814,52.305669548611114,136.3353685701389,0.8699047522942875,3.685586805555556,709.8215059027777,9.378955210440363,20.834191498663966,86.99047522942875,19.259389165188338,idleRoamingMode,equal-weight configuration means
past-avg-total,8.153988561921297,26.173845755208333,269.34877559322916,0.9948596942953879,3.000362847222222,668.6254487847223,16.48645471427418,10.75453699692262,99.48596942953878,22.284819631190445,idleRoamingMode,equal-weight configuration means
random,17.159983425925926,34.358091232638884,411.43620909635416,0.9799230511519885,3.0430987847222224,693.0328300347222,25.993216449044,11.345601455769113,97.99230511519885,22.77391826759193,idleRoamingMode,equal-weight configuration means
