rank,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingMode,groups,groupsWithin5,groupsWithin5WithTravel,meanWaitingDeltaPct,worstWaitingDeltaPct,meanDistanceDeltaPct,worstDistanceDeltaPct,meanTravelDeltaPct,worstTravelDeltaPct,worstPickupGapPoints,worstReferenceDeltaPct
1,2,15,2000,greedy,1,4,0,1,2000,past-avg-total,8,1,1,14.665221148240608,110.93683538919609,31.86862550836105,79.0920711761327,-3.26173908276966,12.947137787222008,1.6230819105251704,110.93683538919609
2,2,15,2000,nearest,1,4,0,1,2000,past-avg-total,8,1,1,14.561652555958851,110.93683538919609,31.867284028873335,79.0920711761327,-3.2898014009910295,12.705198526731621,1.6234421151213874,110.93683538919609
3,2,15,2000,greedy,0,4,0,1,2000,past-avg-total,8,1,1,14.554455950938891,110.95506471410346,31.795913054376815,79.10204802045948,-3.2968416172708195,12.801837767475831,1.6238023197175933,110.95506471410346
4,2,15,2000,nearest,0,4,0,1,2000,past-avg-total,8,1,1,14.51005981626355,110.95506471410346,31.79180567007102,79.10204802045948,-3.3108273533001213,12.67463593340703,1.619840069159284,110.95506471410346
5,1,15,2000,greedy,0,4,0,1,2000,past-avg-total,8,1,1,15.257844386759745,111.44345871057912,31.60132525304909,78.85022280744987,-3.12437447982151,14.089355522638636,1.6605431885310828,111.44345871057912
6,1,15,2000,greedy,1,4,0,1,2000,past-avg-total,8,1,1,15.25267535603085,111.44345871057912,31.665308628253893,78.85022280744987,-3.1290047405683166,14.066906166239047,1.6619840069159286,111.44345871057912
7,1,15,2000,nearest,0,4,0,1,2000,past-avg-total,8,1,1,15.310536733933171,111.44345871057912,31.606808230026118,78.85022280744987,-3.1134456552089294,14.337387167842008,1.7044881492687902,111.44345871057912
8,1,15,2000,nearest,1,4,0,1,2000,past-avg-total,8,1,1,15.324240141188916,111.44345871057912,31.668597425525824,78.85022280744987,-3.1125533524152136,14.325981656925823,1.7026871262877386,111.44345871057912
9,0,15,2000,greedy,0,4,0,1,2000,past-avg-total,8,1,1,15.567150007881903,111.58131798019078,32.24775616768627,79.65069980004351,-3.033484484118386,14.96020859967322,1.7538361789496526,111.58131798019078
10,0,15,2000,greedy,0,4,1,1,2000,past-avg-total,8,1,1,15.567150007881903,111.58131798019078,32.24775616768627,79.65069980004351,-3.033484484118386,14.96020859967322,1.7538361789496526,111.58131798019078
11,0,15,2000,greedy,1,4,0,1,2000,past-avg-total,8,1,1,15.567150007881903,111.58131798019078,32.24775616768627,79.65069980004351,-3.033484484118386,14.96020859967322,1.7538361789496526,111.58131798019078
12,0,15,2000,greedy,1,4,1,1,2000,past-avg-total,8,1,1,15.567150007881903,111.58131798019078,32.24775616768627,79.65069980004351,-3.033484484118386,14.96020859967322,1.7538361789496526,111.58131798019078
13,0,15,2000,nearest,0,4,0,1,2000,past-avg-total,8,1,1,15.567150007881903,111.58131798019078,32.24775616768627,79.65069980004351,-3.033484484118386,14.96020859967322,1.7538361789496526,111.58131798019078
14,0,15,2000,nearest,0,4,1,1,2000,past-avg-total,8,1,1,15.567150007881903,111.58131798019078,32.24775616768627,79.65069980004351,-3.033484484118386,14.96020859967322,1.7538361789496526,111.58131798019078
15,0,15,2000,nearest,1,4,0,1,2000,past-avg-total,8,1,1,15.567150007881903,111.58131798019078,32.24775616768627,79.65069980004351,-3.033484484118386,14.96020859967322,1.7538361789496526,111.58131798019078
16,0,15,2000,nearest,1,4,1,1,2000,past-avg-total,8,1,1,15.567150007881903,111.58131798019078,32.24775616768627,79.65069980004351,-3.033484484118386,14.96020859967322,1.7538361789496526,111.58131798019078
17,1,15,2000,greedy,0,4,1,1,2000,past-avg-total,8,1,1,11.339412912350829,112.22605375625369,32.48265314029727,78.79016379950934,-4.4100157365279005,11.000670422253233,1.1450904113536553,112.22605375625369
18,1,15,2000,nearest,0,4,1,1,2000,past-avg-total,8,1,1,11.22872254884703,112.22605375625369,32.48448238075236,78.79016379950934,-4.441428879790793,11.000670422253233,1.1259995677544765,112.22605375625369
