window,tickBlockSize,series,selectedConfig,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,firstBlock,lastBlock,blocks,activeClientsMean,servedRequestsMean,finishedRequestsMean,waitingTimeMean,waitingTimeMax,calculationTimeMillisMean
all,1000,Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,0,87,88,4.154285714285714,7.291428571428572,7.291428571428572,1.6900893321506094,4.947619047619048,0.002904389714285714
all,1000,Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,RUSH_HOUR,0,87,88,4.224513172966781,7.308132875143184,7.308132875143184,1.728635663193298,7.466666666666667,0.0026405349369988547
all,1000,Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_IMBALANCE,0,87,88,4.313211845102506,7.266514806378132,7.266514806378132,3.2368565769407254,6.08,0.002655002277904328
all,1000,Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_ISLANDS,0,87,88,4.850627137970354,7.274800456100342,7.274800456100342,3.5319229707074533,7.110185185185185,0.0027234823261117445
all,1000,Central,n/a,TaxiAlgorithmSinglePassenger,1685,27762,1,BASELINE,0,90,91,598.5351648351649,305.0769230769231,305.0769230769231,1.3169244251510697,2.3051282051282054,0.613100512087912
all,1000,Central,n/a,TaxiAlgorithmSinglePassenger,1685,27762,1,RUSH_HOUR,0,90,91,1319.2444933920706,289.86563876651985,305.7488986784141,25.868450675611474,137.67121749408983,0.6122609317180616
all,1000,Central,n/a,TaxiAlgorithmSinglePassenger,1685,27762,1,SPATIAL_IMBALANCE,0,90,91,709.7252747252747,305.0769230769231,305.0769230769231,12.052749654422394,29.581481481481482,0.5950565021978022
all,1000,Central,n/a,TaxiAlgorithmSinglePassenger,1685,27762,1,SPATIAL_ISLANDS,0,92,93,807.2874186550977,301.10629067245117,301.10629067245117,14.890162071225292,47.733333333333334,0.5487029251626898
all,1000,Selected P2P,"k=0, r=3000, greedy, shortcuts=0, roam=past-avg, minN=0",TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_IMBALANCE,0,91,92,597.7901098901099,304.68461538461537,305.0769230769231,6.016006022608053,22.40741811175337,2.7647674846153847
all,1000,Selected P2P,"k=1, r=1000, greedy, shortcuts=1, roam=past-avg, minN=1",TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,87,88,4.434435575826682,7.248574686431015,7.274800456100342,2.5885448929002233,20.983333333333334,0.013520345496009122
all,1000,Selected P2P,"k=1, r=2000, greedy, shortcuts=0, roam=random, minN=0",TaxiAlgorithmP2PCollector,39,638,1,RUSH_HOUR,0,87,88,4.565217391304348,7.299771167048055,7.299771167048055,2.7100699675739848,8.783333333333333,0.005433898169336385
all,1000,Selected P2P,"k=1, r=2000, greedy, shortcuts=1, roam=past-avg, minN=0",TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_IMBALANCE,0,87,88,4.069634703196347,7.28310502283105,7.28310502283105,2.7197972337784413,4.503703703703703,0.005380428082191781
all,1000,Selected P2P,"k=1, r=2000, greedy, shortcuts=1, roam=past-avg-revisit, minN=0",TaxiAlgorithmP2PCollector,1685,27762,1,RUSH_HOUR,0,90,91,784.1089108910891,303.4873487348735,305.4125412541254,8.052370411609626,40.666002044989774,5.007703698569856
all,1000,Selected P2P,"k=1, r=2000, nearest, shortcuts=1, roam=past-avg-total, minN=0",TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_ISLANDS,0,93,94,840.781954887218,294.8378088077336,298.1954887218045,20.219930561957998,98.35,7.650731005370569
all,1000,Selected P2P,"k=2, r=2000, greedy, shortcuts=0, roam=past-avg-total, minN=1",TaxiAlgorithmP2PCollector,1685,27762,1,BASELINE,0,90,91,625.1956043956044,305.0736263736264,305.0769230769231,2.8657979579535904,22.55,3.4198073142857144
all,1000,Selected P2P,"k=2, r=3000, greedy, shortcuts=0, roam=past-avg, minN=0",TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_ISLANDS,0,87,88,4.94526795895097,7.274800456100342,7.274800456100342,3.847291152499993,5.933333333333334,0.005613216647662486
blocks_10_85,1000,Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,10,85,76,4.2026315789473685,7.406578947368421,7.402631578947369,1.7128574857768937,4.947619047619048,0.0028342513157894734
blocks_10_85,1000,Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,RUSH_HOUR,10,85,76,4.668421052631579,8.06842105263158,8.082894736842105,1.780372426366005,7.466666666666667,0.002694136842105263
blocks_10_85,1000,Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_IMBALANCE,10,85,76,4.389473684210526,7.346052631578948,7.346052631578948,3.32005342529305,6.08,0.0027184776315789475
blocks_10_85,1000,Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_ISLANDS,10,85,76,4.980263157894737,7.397368421052631,7.3881578947368425,3.6585320234711682,7.110185185185185,0.002729707894736842
blocks_10_85,1000,Central,n/a,TaxiAlgorithmSinglePassenger,1685,27762,1,BASELINE,10,85,76,630.7947368421053,321.25394736842105,321.2368421052632,1.3431788202978223,2.0283582089552237,0.6652669828947368
