series,selectedConfig,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,runIndex,worldSeed,tickBlock,servedRequestsSum,finishedRequestsSum,waitingTimeSum,waitingTimeCount,rows,activeClientsMean,servedRequestsMean,finishedRequestsMean,calcTimeMillisMean,waitingTimeAvg
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,0,6,2,8.716666666666667,6,1,2.0,6.0,2.0,0.026897,1.4527777777777777
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,1,7,8,12.433333333333334,7,1,5.0,7.0,8.0,0.002776,1.7761904761904763
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,2,6,4,9.266666666666667,6,1,4.0,6.0,4.0,0.002456,1.5444444444444445
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,3,8,8,17.35,8,1,5.0,8.0,8.0,0.002547,2.16875
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,4,6,9,17.8,6,1,4.0,6.0,9.0,0.002374,2.966666666666667
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,5,7,4,7.283333333333333,7,1,3.0,7.0,4.0,0.002443,1.0404761904761906
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,6,7,8,8.083333333333334,7,1,4.0,7.0,8.0,0.002521,1.1547619047619049
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,7,5,7,11.233333333333333,5,1,4.0,5.0,7.0,0.002428,2.2466666666666666
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,8,7,4,10.516666666666667,7,1,4.0,7.0,4.0,0.002533,1.5023809523809526
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,9,7,7,9.8,7,1,4.0,7.0,7.0,0.002651,1.4000000000000001
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,10,6,9,8.25,6,1,4.0,6.0,9.0,0.002605,1.375
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,11,10,8,15.85,10,1,5.0,10.0,8.0,0.002967,1.585
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,12,10,10,16.45,10,1,4.0,10.0,10.0,0.002321,1.645
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,13,6,4,9.783333333333333,6,1,4.0,6.0,4.0,0.002288,1.6305555555555555
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,14,5,9,11.55,5,1,4.0,5.0,9.0,0.002272,2.31
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,15,9,7,14.283333333333333,9,1,4.0,9.0,7.0,0.002501,1.587037037037037
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,16,10,11,21.116666666666667,10,1,5.0,10.0,11.0,0.002988,2.111666666666667
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,17,10,10,18.966666666666665,10,1,4.0,10.0,10.0,0.008987,1.8966666666666665
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,18,4,4,7.933333333333334,4,1,3.0,4.0,4.0,0.004838,1.9833333333333334
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,19,10,6,15.866666666666667,10,1,4.0,10.0,6.0,0.002766,1.5866666666666667
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,20,8,13,15.083333333333334,8,1,6.0,8.0,13.0,0.00373,1.8854166666666667
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,21,3,4,8.716666666666667,3,1,2.0,3.0,4.0,0.002523,2.9055555555555554
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,22,10,8,18.333333333333332,10,1,5.0,10.0,8.0,0.002809,1.8333333333333333
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,23,9,7,21.683333333333334,9,1,5.0,9.0,7.0,0.00577,2.4092592592592594
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,24,14,15,30.783333333333335,14,1,9.0,14.0,15.0,0.00283,2.198809523809524
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,25,7,10,11.716666666666667,7,1,3.0,7.0,10.0,0.002681,1.6738095238095239
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,26,4,4,6.85,4,1,2.0,4.0,4.0,0.002479,1.7125
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,27,8,6,13.216666666666667,8,1,5.0,8.0,6.0,0.002584,1.6520833333333333
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,28,7,8,14.833333333333334,7,1,4.0,7.0,8.0,0.003049,2.119047619047619
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,29,12,5,19.033333333333335,12,1,5.0,12.0,5.0,0.002934,1.5861111111111112
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,30,5,12,11.416666666666666,5,1,5.0,5.0,12.0,0.002646,2.283333333333333
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,31,4,4,4.866666666666666,4,1,2.0,4.0,4.0,0.002946,1.2166666666666666
