variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Taxi Travel Distance [km]
P2PCollector+greedy (k=0),0,BASELINE,5,1,1000,1,4,1,n/a,0.03,8439.676,117.076,565.771
P2PCollector+greedy (k=0),0,BASELINE,5,1,5000,1,4,1,n/a,0.028999999999999998,4236.488,55.3,315.865
P2PCollector+greedy (k=0),0,BASELINE,5,1,10000,1,4,1,n/a,0.025,2731.5119999999997,31.012999999999998,204.561
P2PCollector+greedy (k=0),0,BASELINE,5,1,20000,1,4,1,n/a,0.028000000000000004,2628.968,29.213,173.294
P2PCollector+greedy (k=0),0,BASELINE,10,1,1000,1,4,1,n/a,0.101,5208.3589999999995,69.8395,410.003
P2PCollector+greedy (k=0),0,BASELINE,10,1,5000,1,4,1,n/a,0.0805,2409.037,25.705000000000002,204.747
P2PCollector+greedy (k=0),0,BASELINE,10,1,10000,1,4,1,n/a,0.07,1951.691,17.811500000000002,160.379
P2PCollector+greedy (k=0),0,BASELINE,10,1,20000,1,4,1,n/a,0.082,1958.855,18.008,145.615
P2PCollector+greedy (k=0),0,BASELINE,20,1,1000,1,4,1,n/a,0.3505,3928.6495000000004,51.0905,338.0815
P2PCollector+greedy (k=0),0,BASELINE,20,1,5000,1,4,1,n/a,0.28250000000000003,1914.636,17.137999999999998,171.7295
P2PCollector+greedy (k=0),0,BASELINE,20,1,10000,1,4,1,n/a,0.2575,1724.4785,13.911000000000001,149.972
P2PCollector+greedy (k=0),0,BASELINE,20,1,20000,1,4,1,n/a,0.2625,1796.3775,15.056999999999999,140.299
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,5,1,1000,1,4,1,n/a,0.01,13469.168,28.756,40.867000000000004
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,5,1,5000,1,4,1,n/a,0.011,3704.46,27.921,138.005
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,5,1,10000,1,4,1,n/a,0.022,2230.352,21.893,149.674
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,5,1,20000,1,4,1,n/a,0.025,2159.196,23.43,152.866
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,10,1,1000,1,4,1,n/a,0.02,12037.958999999999,37.0555,47.677499999999995
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,10,1,5000,1,4,1,n/a,0.034,2884.081,22.403,112.95450000000001
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,10,1,10000,1,4,1,n/a,0.063,1698.141,13.9165,118.1625
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,10,1,20000,1,4,1,n/a,0.0675,1580.962,13.297,117.508
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,20,1,1000,1,4,1,n/a,0.0695,9931.539999999999,50.5685,61.1395
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,20,1,5000,1,4,1,n/a,0.11100000000000002,2262.4845,15.9215,112.77649999999998
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,20,1,10000,1,4,1,n/a,0.22349999999999998,1436.9875,10.809999999999999,116.019
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,20,1,20000,1,4,1,n/a,0.257,1466.9725,11.5175,119.33800000000001
P2PCollector+greedy (k=0),0,SPATIAL_ISLANDS,5,1,1000,1,4,1,n/a,0.01,12793.380000000001,44.595,46.78
P2PCollector+greedy (k=0),0,SPATIAL_ISLANDS,5,1,5000,1,4,1,n/a,0.01,3912.244,30.695,130.98499999999999
P2PCollector+greedy (k=0),0,SPATIAL_ISLANDS,5,1,10000,1,4,1,n/a,0.02,2505.044,24.772,147.652
P2PCollector+greedy (k=0),0,SPATIAL_ISLANDS,5,1,20000,1,4,1,n/a,0.023,2159.668,21.008,151.077
P2PCollector+greedy (k=0),0,SPATIAL_ISLANDS,10,1,1000,1,4,1,n/a,0.0205,10071.628,43.114999999999995,54.49400000000001
P2PCollector+greedy (k=0),0,SPATIAL_ISLANDS,10,1,5000,1,4,1,n/a,0.0355,2838.297,20.8345,105.011
P2PCollector+greedy (k=0),0,SPATIAL_ISLANDS,10,1,10000,1,4,1,n/a,0.053500000000000006,2084.142,16.3505,111.14500000000001
P2PCollector+greedy (k=0),0,SPATIAL_ISLANDS,10,1,20000,1,4,1,n/a,0.064,1672.636,14.241499999999998,115.24849999999999
P2PCollector+greedy (k=0),0,SPATIAL_ISLANDS,20,1,1000,1,4,1,n/a,0.067,8835.371000000001,44.6,66.801
P2PCollector+greedy (k=0),0,SPATIAL_ISLANDS,20,1,5000,1,4,1,n/a,0.165,1933.756,13.237,111.25550000000001
P2PCollector+greedy (k=0),0,SPATIAL_ISLANDS,20,1,10000,1,4,1,n/a,0.20350000000000001,1626.669,12.4465,113.9325
P2PCollector+greedy (k=0),0,SPATIAL_ISLANDS,20,1,20000,1,4,1,n/a,0.21400000000000002,1621.453,12.866,118.452
P2PCollector+greedy (k=1),1,BASELINE,5,1,1000,1,4,1,n/a,0.033,9054.436,118.978,634.08
P2PCollector+greedy (k=1),1,BASELINE,5,1,5000,1,4,1,n/a,0.033,4231.492,55.26700000000001,282.967
P2PCollector+greedy (k=1),1,BASELINE,5,1,10000,1,4,1,n/a,0.023,2721.068,30.732,197.965
P2PCollector+greedy (k=1),1,BASELINE,5,1,20000,1,4,1,n/a,0.022,2759.384,31.704,173.289
P2PCollector+greedy (k=1),1,BASELINE,10,1,1000,1,4,1,n/a,0.1025,5968.62,83.7175,478.25100000000003
P2PCollector+greedy (k=1),1,BASELINE,10,1,5000,1,4,1,n/a,0.08499999999999999,2603.962,28.689,226.0015
P2PCollector+greedy (k=1),1,BASELINE,10,1,10000,1,4,1,n/a,0.0685,1944.975,17.7725,148.733
P2PCollector+greedy (k=1),1,BASELINE,10,1,20000,1,4,1,n/a,0.054000000000000006,2044.184,19.392500000000002,130.199
P2PCollector+greedy (k=1),1,BASELINE,20,1,1000,1,4,1,n/a,0.34950000000000003,3944.8035000000004,51.4145,355.969
P2PCollector+greedy (k=1),1,BASELINE,20,1,5000,1,4,1,n/a,0.2855,1911.8044999999997,17.044,178.10999999999999
P2PCollector+greedy (k=1),1,BASELINE,20,1,10000,1,4,1,n/a,0.2225,1750.1675,14.2215,134.9205
P2PCollector+greedy (k=1),1,BASELINE,20,1,20000,1,4,1,n/a,0.1885,1901.7645,16.7665,126.2595
P2PCollector+greedy (k=1),1,SPATIAL_IMBALANCE,5,1,1000,1,4,1,n/a,0.01,13469.168,28.756,40.867000000000004
P2PCollector+greedy (k=1),1,SPATIAL_IMBALANCE,5,1,5000,1,4,1,n/a,0.012,3684.7520000000004,28.699,139.399
P2PCollector+greedy (k=1),1,SPATIAL_IMBALANCE,5,1,10000,1,4,1,n/a,0.023,2311.472,23.298000000000002,152.302
P2PCollector+greedy (k=1),1,SPATIAL_IMBALANCE,5,1,20000,1,4,1,n/a,0.025,2273.564,25.415,153.541
P2PCollector+greedy (k=1),1,SPATIAL_IMBALANCE,10,1,1000,1,4,1,n/a,0.0195,12038.021,37.058499999999995,47.6975
P2PCollector+greedy (k=1),1,SPATIAL_IMBALANCE,10,1,5000,1,4,1,n/a,0.031,2895.555,22.178,114.42999999999999
P2PCollector+greedy (k=1),1,SPATIAL_IMBALANCE,10,1,10000,1,4,1,n/a,0.047,1814.3220000000001,15.729500000000002,121.5465
P2PCollector+greedy (k=1),1,SPATIAL_IMBALANCE,10,1,20000,1,4,1,n/a,0.063,1817.889,17.2485,118.1885
P2PCollector+greedy (k=1),1,SPATIAL_IMBALANCE,20,1,1000,1,4,1,n/a,0.061,9900.4865,50.4445,61.487
P2PCollector+greedy (k=1),1,SPATIAL_IMBALANCE,20,1,5000,1,4,1,n/a,0.11600000000000002,2271.3665,16.2655,113.83399999999999
P2PCollector+greedy (k=1),1,SPATIAL_IMBALANCE,20,1,10000,1,4,1,n/a,0.205,1511.2625,12.0125,115.704
P2PCollector+greedy (k=1),1,SPATIAL_IMBALANCE,20,1,20000,1,4,1,n/a,0.23349999999999999,1705.8224999999998,15.502500000000001,118.3095
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,5,1,1000,1,4,1,n/a,0.01,12812.788,42.472,46.307
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,5,1,5000,1,4,1,n/a,0.011,3745.0919999999996,31.302999999999997,133.09
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,5,1,10000,1,4,1,n/a,0.02,2519.1079999999997,23.967000000000002,148.068
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,5,1,20000,1,4,1,n/a,0.024,2322.444,25.356,160.73
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,10,1,1000,1,4,1,n/a,0.02,10054.291000000001,43.1605,54.6745
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,10,1,5000,1,4,1,n/a,0.033,2836.8419999999996,19.9945,105.35
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,10,1,10000,1,4,1,n/a,0.0445,2092.42,18.1995,114.33399999999999
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,10,1,20000,1,4,1,n/a,0.057999999999999996,1880.8939999999998,17.750999999999998,121.475
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,20,1,1000,1,4,1,n/a,0.0655,8810.3295,44.4675,67.0765
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,20,1,5000,1,4,1,n/a,0.15250000000000002,1901.7785,13.2875,112.62750000000001
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,20,1,10000,1,4,1,n/a,0.186,1690.3740000000003,13.35,115.39349999999999
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,20,1,20000,1,4,1,n/a,0.20800000000000002,1830.5875,16.3435,123.0445
P2PCollector+greedy (k=2),2,BASELINE,5,1,1000,1,4,1,n/a,0.03,8955.728,125.332,543.223
P2PCollector+greedy (k=2),2,BASELINE,5,1,5000,1,4,1,n/a,0.03,3650.032,44.295,267.999
P2PCollector+greedy (k=2),2,BASELINE,5,1,10000,1,4,1,n/a,0.027999999999999997,2857.052,33.397000000000006,205.52599999999998
P2PCollector+greedy (k=2),2,BASELINE,5,1,20000,1,4,1,n/a,0.026000000000000002,2680.752,30.212,169.197
P2PCollector+greedy (k=2),2,BASELINE,10,1,1000,1,4,1,n/a,0.098,5682.777,78.0085,453.96450000000004
P2PCollector+greedy (k=2),2,BASELINE,10,1,5000,1,4,1,n/a,0.0805,2512.082,27.810000000000002,207.63600000000002
P2PCollector+greedy (k=2),2,BASELINE,10,1,10000,1,4,1,n/a,0.064,1987.563,18.5075,151.922
P2PCollector+greedy (k=2),2,BASELINE,10,1,20000,1,4,1,n/a,0.05550000000000001,2176.0080000000003,21.586000000000002,132.7745
P2PCollector+greedy (k=2),2,BASELINE,20,1,1000,1,4,1,n/a,0.34900000000000003,4056.2464999999997,53.650999999999996,356.566
P2PCollector+greedy (k=2),2,BASELINE,20,1,5000,1,4,1,n/a,0.28500000000000003,1977.577,18.294999999999998,178.10250000000002
