metric,variant_k,spawnScenario,count,mean,median,std,min,max
Calculation Time [millis],P2PCollector+greedy (k=0),BASELINE,200,0.15425,0.09,0.11811091584697435,0.02,0.45
Calculation Time [millis],P2PCollector+greedy (k=0),SPATIAL_IMBALANCE,200,0.08795,0.05,0.09880846656702366,0.01,0.44
Calculation Time [millis],P2PCollector+greedy (k=0),SPATIAL_ISLANDS,200,0.08545,0.05,0.09045833878242725,0.01,0.36
Calculation Time [millis],P2PCollector+greedy (k=1),BASELINE,200,0.14115,0.09,0.11596298794384496,0.01,0.42
Calculation Time [millis],P2PCollector+greedy (k=1),SPATIAL_IMBALANCE,200,0.08109999999999999,0.045,0.1034324968616497,0.01,0.52
Calculation Time [millis],P2PCollector+greedy (k=1),SPATIAL_ISLANDS,200,0.08,0.04,0.09502181711924487,0.01,0.47
Calculation Time [millis],P2PCollector+greedy (k=2),BASELINE,200,0.14025,0.09,0.11771884356658138,0.02,0.38
Calculation Time [millis],P2PCollector+greedy (k=2),SPATIAL_IMBALANCE,200,0.08814999999999999,0.04,0.12282715518260306,0.01,0.69
Calculation Time [millis],P2PCollector+greedy (k=2),SPATIAL_ISLANDS,200,0.08574999999999999,0.05,0.11010473542867762,0.01,0.58
Calculation Time [millis],P2PCollector+greedy (k=5),BASELINE,200,0.1505,0.1,0.13228851520930082,0.01,0.51
Calculation Time [millis],P2PCollector+greedy (k=5),SPATIAL_IMBALANCE,200,0.10369999999999999,0.04,0.1646293537635467,0.01,0.82
Calculation Time [millis],P2PCollector+greedy (k=5),SPATIAL_ISLANDS,200,0.1011,0.05,0.14699601744853036,0.01,0.82
Calculation Time [millis],P2PCollector+nearest (k=0),BASELINE,200,0.15185,0.09,0.11653316003153213,0.02,0.38
Calculation Time [millis],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,200,0.0842,0.05,0.09482785249092274,0.01,0.41
Calculation Time [millis],P2PCollector+nearest (k=0),SPATIAL_ISLANDS,200,0.0851,0.04,0.09766103824944623,0.01,0.44
Calculation Time [millis],P2PCollector+nearest (k=1),BASELINE,200,0.1413,0.09,0.11701612653539138,0.01,0.39
Calculation Time [millis],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,200,0.0818,0.04,0.10573390322624662,0.01,0.51
Calculation Time [millis],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,200,0.08130000000000001,0.05,0.09587633366365195,0.01,0.43
Calculation Time [millis],P2PCollector+nearest (k=2),BASELINE,200,0.14235,0.09,0.11827052500698189,0.02,0.39
Calculation Time [millis],P2PCollector+nearest (k=2),SPATIAL_IMBALANCE,200,0.091,0.04,0.13024908491272796,0.01,0.74
Calculation Time [millis],P2PCollector+nearest (k=2),SPATIAL_ISLANDS,200,0.0857,0.05,0.10891659249445428,0.01,0.55
Calculation Time [millis],P2PCollector+nearest (k=5),BASELINE,200,0.14935,0.09,0.13516071765860802,0.01,0.6
Calculation Time [millis],P2PCollector+nearest (k=5),SPATIAL_IMBALANCE,200,0.10355,0.04,0.16825410759805565,0.0,0.98
Calculation Time [millis],P2PCollector+nearest (k=5),SPATIAL_ISLANDS,200,0.09895,0.05,0.14139078566638202,0.01,0.71
Calculation Time [millis],SinglePassenger,BASELINE,50,0.0,0.0,0.0,0.0,0.0
Calculation Time [millis],SinglePassenger,SPATIAL_IMBALANCE,50,0.0,0.0,0.0,0.0,0.0
Calculation Time [millis],SinglePassenger,SPATIAL_ISLANDS,50,0.0,0.0,0.0,0.0,0.0
Calculation Time [millis],VehicleRouting,BASELINE,50,3.4222,0.42,6.384593474664984,0.05,25.16
Calculation Time [millis],VehicleRouting,SPATIAL_IMBALANCE,50,2.9042000000000003,0.49,5.209826700083023,0.05,17.83
Calculation Time [millis],VehicleRouting,SPATIAL_ISLANDS,50,4.0552,0.635,7.425269386991139,0.05,26.4
Client Travel Time [min],P2PCollector+greedy (k=0),BASELINE,200,2991.0405499999997,2334.1,1754.6615814184017,1169.32,9259.84
Client Travel Time [min],P2PCollector+greedy (k=0),SPATIAL_IMBALANCE,200,4408.071550000001,2133.59,4381.402828210886,937.28,17469.12
Client Travel Time [min],P2PCollector+greedy (k=0),SPATIAL_ISLANDS,200,4136.912,2106.3,3756.787046775219,1051.44,16429.96
Client Travel Time [min],P2PCollector+greedy (k=1),BASELINE,200,3145.3471000000004,2382.4350000000004,1961.0837372227631,1204.92,11451.76
