algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,636.487,111.06274344261445,506.78,828.03,6.322999999999991,2.5,13.960000000000036
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,125.957,18.965339991679553,84.37,158.14,384.831,272.82,482.2
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,8788.891999999998,1021.3362099602657,6473.56,10278.12,24816.3,19296.0,33052.0
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.039999999999999994,0.007745966692414835,0.03,0.06,3.5,1.0,23.0
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,395.78700000000003,51.033977319037156,327.99,487.14,11.029000000000007,4.609999999999957,21.5
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,70.171,8.12878644079176,60.22,88.41,227.57999999999998,177.93,296.68
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,5211.068000000001,364.03745919341867,4672.76,6014.16,14052.9,10447.0,17563.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.09999999999999998,0.01,0.09,0.12,1.0,1.0,1.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,479.113,80.04836438678807,388.26,669.5,11.75200000000001,6.240000000000009,22.220000000000027
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,86.613,12.316847039725712,72.25,108.39,315.948,250.53,381.13
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,6290.197999999999,613.0216024545955,5154.82,7074.68,20053.8,15339.0,28561.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.09899999999999999,0.007000000000000001,0.09,0.11,1.0,1.0,1.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,302.678,43.68866599016271,220.15,385.17,16.185000000000002,7.240000000000009,30.180000000000007
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,43.979,6.379447389860661,35.28,56.33,182.294,136.44,233.62
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,3518.416,361.99949467368043,2872.44,4184.42,11215.8,8367.0,14659.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.35,0.022803508501982758,0.31,0.38,2.0,1.0,5.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,371.731,64.77430068321848,284.16,500.34,15.494000000000005,4.490000000000009,28.54000000000002
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,55.29699999999999,5.057224634124926,46.67,61.97,237.263,201.21,325.02
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,4148.818,299.8212585124677,3612.13,4497.12,14250.0,11565.0,19734.0
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.347,0.020518284528683182,0.31,0.38,2.1,1.0,6.0
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Taxi Travel Distance [km],10,40.867000000000004,14.158858746382068,18.74,64.22,81.365,30.43,137.78
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Client Waiting Time [min],10,28.756,19.744795364855012,5.11,65.92,65.359,0.0,252.54999999999998
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Client Travel Time [min],10,13469.168,1844.4221210384567,10144.24,17469.12,31037.6,22674.0,36455.0
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Calculation Time [millis],10,0.009999999999999998,1.734723475976807E-18,0.01,0.01,1.0,1.0,1.0
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Taxi Travel Distance [km],10,32.577,10.064424524035143,18.73,49.64,95.954,34.809999999999995,232.82
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Client Waiting Time [min],10,25.809000000000005,20.974069443005092,5.14,69.56,69.98899999999999,0.0,252.54999999999998
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Client Travel Time [min],10,12883.235999999999,2336.9131495680367,8571.96,15690.52,30470.9,21555.0,37456.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Calculation Time [millis],10,0.018999999999999996,0.003,0.01,0.02,1.0,1.0,1.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,SPATIAL_IMBALANCE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,SPATIAL_IMBALANCE,Taxi Travel Distance [km],10,62.778,19.47549116197073,28.73,86.38,180.48799999999997,79.24,262.38
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,SPATIAL_IMBALANCE,Client Waiting Time [min],10,48.302,24.66061345546781,6.75,88.52,162.38500000000002,19.979999999999997,281.5
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,SPATIAL_IMBALANCE,Client Travel Time [min],10,11192.681999999999,2275.2784048454378,8566.18,16241.74,32249.8,27786.0,37494.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,SPATIAL_IMBALANCE,Calculation Time [millis],10,0.019999999999999997,3.469446951953614E-18,0.02,0.02,0.9,0.0,1.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,SPATIAL_IMBALANCE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,SPATIAL_IMBALANCE,Taxi Travel Distance [km],10,36.66600000000001,10.850763291123808,21.92,54.19,160.758,43.69,240.60999999999999
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,SPATIAL_IMBALANCE,Client Waiting Time [min],10,45.268,18.66685018957403,2.42,67.7,171.631,7.7299999999999995,319.57
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,SPATIAL_IMBALANCE,Client Travel Time [min],10,11486.238000000001,2486.9398454558564,6936.56,14797.82,32812.2,25747.0,38878.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,SPATIAL_IMBALANCE,Calculation Time [millis],10,0.05099999999999999,0.005385164807134503,0.04,0.06,1.1,1.0,2.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,SPATIAL_IMBALANCE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,SPATIAL_IMBALANCE,Taxi Travel Distance [km],10,85.613,8.68234996991022,69.5,100.75,259.69100000000003,224.72,284.68
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,SPATIAL_IMBALANCE,Client Waiting Time [min],10,55.86900000000001,9.54395143533327,41.09,73.69,218.98499999999999,133.98000000000002,307.49
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,SPATIAL_IMBALANCE,Client Travel Time [min],10,8376.842,1038.4576028687927,6802.93,9813.39,34054.2,28673.0,38878.0
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,SPATIAL_IMBALANCE,Calculation Time [millis],10,0.075,0.00806225774829855,0.06,0.09,2.3,1.0,7.0
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,SPATIAL_IMBALANCE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,SPATIAL_ISLANDS,Taxi Travel Distance [km],10,46.78,13.339000712197297,21.37,66.7,85.54899999999999,44.27,123.43
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,SPATIAL_ISLANDS,Client Waiting Time [min],10,44.595,32.50966141011007,8.38,113.1,165.161,33.11,436.5
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,SPATIAL_ISLANDS,Client Travel Time [min],10,12793.38,2091.78253418466,9039.44,16429.96,29458.4,24099.0,34100.0
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,SPATIAL_ISLANDS,Calculation Time [millis],10,0.009999999999999998,1.734723475976807E-18,0.01,0.01,1.7,1.0,2.0
TaxiAlgorithmP2PCollector,0,1000,5,25,1,nearest,1,4,1,SPATIAL_ISLANDS,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,SPATIAL_ISLANDS,Taxi Travel Distance [km],10,37.45399999999999,8.45756253302333,23.67,53.82,98.48500000000001,75.9,143.95
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,SPATIAL_ISLANDS,Client Waiting Time [min],10,38.760000000000005,27.562896799864852,13.35,103.56,165.957,38.269999999999996,336.62
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,SPATIAL_ISLANDS,Client Travel Time [min],10,10379.555999999999,2292.832510268467,7288.72,15639.12,27593.4,22814.0,34100.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,SPATIAL_ISLANDS,Calculation Time [millis],10,0.019999999999999997,3.469446951953614E-18,0.02,0.02,2.0,2.0,2.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,nearest,1,4,1,SPATIAL_ISLANDS,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,SPATIAL_ISLANDS,Taxi Travel Distance [km],10,71.534,16.433336362406752,42.3,102.27,139.365,99.03999999999999,164.95
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,SPATIAL_ISLANDS,Client Waiting Time [min],10,47.47,16.458634208220317,28.97,80.77,325.254,126.25,398.86
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,SPATIAL_ISLANDS,Client Travel Time [min],10,9763.699999999999,1596.762710987453,6985.18,13252.34,31676.8,27197.0,37268.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,SPATIAL_ISLANDS,Calculation Time [millis],10,0.019999999999999997,3.469446951953614E-18,0.02,0.02,1.6,1.0,3.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,nearest,1,4,1,SPATIAL_ISLANDS,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,SPATIAL_ISLANDS,Taxi Travel Distance [km],10,45.045,7.4976626357819,33.47,58.75,150.59300000000002,115.46,195.26
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,SPATIAL_ISLANDS,Client Waiting Time [min],10,44.713,13.405842793349471,18.99,67.27,302.377,110.89999999999999,405.75
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,SPATIAL_ISLANDS,Client Travel Time [min],10,9281.298,1586.2291909166213,6664.14,13057.72,31030.2,27899.0,37196.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,SPATIAL_ISLANDS,Calculation Time [millis],10,0.053000000000000005,0.004582575694955837,0.05,0.06,4.2,1.0,31.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,nearest,1,4,1,SPATIAL_ISLANDS,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,SPATIAL_ISLANDS,Taxi Travel Distance [km],10,88.557,10.586013461166576,63.13,99.5,198.0,146.19,291.55
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,SPATIAL_ISLANDS,Client Waiting Time [min],10,44.487,8.1317305046343,29.47,57.39,400.581,336.8,506.5
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,SPATIAL_ISLANDS,Client Travel Time [min],10,8389.444,1109.1353976607184,6799.38,10995.49,31743.2,28437.0,38600.0
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,SPATIAL_ISLANDS,Calculation Time [millis],10,0.077,0.006403124237432845,0.07,0.09,1.7,1.0,3.0
TaxiAlgorithmP2PCollector,0,1000,20,100,1,nearest,1,4,1,SPATIAL_ISLANDS,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,5,25,1,greedy,1,4,1,BASELINE,Taxi Travel Distance [km],10,565.771,88.93936771194183,423.82,739.35,7.768999999999989,2.3100000000000023,25.019999999999982
TaxiAlgorithmP2PCollector,0,1000,5,25,1,greedy,1,4,1,BASELINE,Client Waiting Time [min],10,117.07599999999998,15.158746781973765,91.64,140.8,321.908,190.57,382.61
TaxiAlgorithmP2PCollector,0,1000,5,25,1,greedy,1,4,1,BASELINE,Client Travel Time [min],10,8439.676000000001,550.0416465541496,7524.8,9259.84,22726.3,16151.0,31638.0
TaxiAlgorithmP2PCollector,0,1000,5,25,1,greedy,1,4,1,BASELINE,Calculation Time [millis],10,0.030000000000000006,6.938893903907228E-18,0.03,0.03,1.0,1.0,1.0
TaxiAlgorithmP2PCollector,0,1000,5,25,1,greedy,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,greedy,1,4,1,BASELINE,Taxi Travel Distance [km],10,375.61199999999997,73.30352690014308,265.71,465.44,10.837000000000012,5.860000000000014,19.53000000000003
TaxiAlgorithmP2PCollector,0,1000,10,25,1,greedy,1,4,1,BASELINE,Client Waiting Time [min],10,62.071000000000005,10.522893565935181,48.43,79.3,224.199,150.81,301.77
TaxiAlgorithmP2PCollector,0,1000,10,25,1,greedy,1,4,1,BASELINE,Client Travel Time [min],10,4709.343999999999,450.3041269897489,4048.6,5393.16,14002.8,8317.0,17718.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,greedy,1,4,1,BASELINE,Calculation Time [millis],10,0.09399999999999999,0.006633249580710801,0.09,0.11,1.2,1.0,2.0
TaxiAlgorithmP2PCollector,0,1000,10,25,1,greedy,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,greedy,1,4,1,BASELINE,Taxi Travel Distance [km],10,444.39400000000006,86.9252497494255,358.45,658.04,10.815000000000003,4.680000000000007,23.319999999999993
TaxiAlgorithmP2PCollector,0,1000,10,50,1,greedy,1,4,1,BASELINE,Client Waiting Time [min],10,77.60799999999999,13.336083982938922,54.96,99.95,270.313,197.2,354.62
TaxiAlgorithmP2PCollector,0,1000,10,50,1,greedy,1,4,1,BASELINE,Client Travel Time [min],10,5707.374,665.2028785295505,4685.38,6607.96,17789.3,11445.0,29158.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,greedy,1,4,1,BASELINE,Calculation Time [millis],10,0.10800000000000001,0.014,0.09,0.14,2.5,1.0,9.0
TaxiAlgorithmP2PCollector,0,1000,10,50,1,greedy,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,greedy,1,4,1,BASELINE,Taxi Travel Distance [km],10,292.818,32.6827075989735,239.19,345.42,16.571,5.160000000000025,30.200000000000017
TaxiAlgorithmP2PCollector,0,1000,20,50,1,greedy,1,4,1,BASELINE,Client Waiting Time [min],10,45.224000000000004,5.4834554798958655,37.87,54.05,190.726,142.65,235.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,greedy,1,4,1,BASELINE,Client Travel Time [min],10,3577.9739999999997,306.4624968964392,3141.64,4130.48,11353.2,8554.0,14209.0
TaxiAlgorithmP2PCollector,0,1000,20,50,1,greedy,1,4,1,BASELINE,Calculation Time [millis],10,0.34800000000000003,0.03682390527904394,0.31,0.45,6.6,1.0,42.0
