variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Simulation Time [millis],Taxi Travel Distance [km]
P2PCollector+greedy (k=0),0,BASELINE,39,1,1000,1,4,0,none,0.01,772.66,293.9975,0.02,70143.645
P2PCollector+greedy (k=0),0,BASELINE,39,1,1000,1,4,0,past-avg,0.01,644.4425,184.3075,0.0125,118524.65
P2PCollector+greedy (k=0),0,BASELINE,39,1,1000,1,4,0,past-avg-revisit,0.01,585.095,119.4875,0.01,267624.1325
P2PCollector+greedy (k=0),0,BASELINE,39,1,1000,1,4,0,past-avg-total,0.01,613.1775,150.7825,0.01,137980.855
P2PCollector+greedy (k=0),0,BASELINE,39,1,1000,1,4,0,random,0.01,585.095,119.4875,0.01,267624.1325
P2PCollector+greedy (k=0),0,BASELINE,39,1,1000,1,4,1,none,0.01,772.66,293.9975,0.02,70143.645
P2PCollector+greedy (k=0),0,BASELINE,39,1,1000,1,4,1,past-avg,0.01,644.4425,184.3075,0.015,118524.65
P2PCollector+greedy (k=0),0,BASELINE,39,1,1000,1,4,1,past-avg-revisit,0.01,585.095,119.4875,0.01,267624.1325
P2PCollector+greedy (k=0),0,BASELINE,39,1,1000,1,4,1,past-avg-total,0.01,613.1775,150.7825,0.01,137980.855
P2PCollector+greedy (k=0),0,BASELINE,39,1,1000,1,4,1,random,0.01,585.095,119.4875,0.01,267624.1325
P2PCollector+greedy (k=0),0,BASELINE,39,1,2000,1,4,0,none,0.0,645.3125,177.8375,0.01,84310.575
P2PCollector+greedy (k=0),0,BASELINE,39,1,2000,1,4,0,past-avg,0.0,634.1625,164.8625,0.01,98589.2125
P2PCollector+greedy (k=0),0,BASELINE,39,1,2000,1,4,0,past-avg-revisit,0.0,627.7425000000001,157.97,0.01,105022.5825
P2PCollector+greedy (k=0),0,BASELINE,39,1,2000,1,4,0,past-avg-total,0.0,636.4825,167.2475,0.01,105599.58
P2PCollector+greedy (k=0),0,BASELINE,39,1,2000,1,4,0,random,0.0,627.7425000000001,157.97,0.01,105022.5825
P2PCollector+greedy (k=0),0,BASELINE,39,1,2000,1,4,1,none,0.0,645.3125,177.8375,0.01,84310.575
P2PCollector+greedy (k=0),0,BASELINE,39,1,2000,1,4,1,past-avg,0.0,634.1625,164.8625,0.01,98589.2125
P2PCollector+greedy (k=0),0,BASELINE,39,1,2000,1,4,1,past-avg-revisit,0.0,627.7425000000001,157.97,0.01,105022.5825
P2PCollector+greedy (k=0),0,BASELINE,39,1,2000,1,4,1,past-avg-total,0.0,636.4825,167.2475,0.01,105599.58
P2PCollector+greedy (k=0),0,BASELINE,39,1,2000,1,4,1,random,0.0,627.7425000000001,157.97,0.01,105022.5825
P2PCollector+greedy (k=0),0,BASELINE,39,1,3000,1,4,0,none,0.0,704.9175,234.8875,0.01,95082.09
P2PCollector+greedy (k=0),0,BASELINE,39,1,3000,1,4,0,past-avg,0.0,702.33,232.2825,0.01,99591.5475
P2PCollector+greedy (k=0),0,BASELINE,39,1,3000,1,4,0,past-avg-revisit,0.0,700.77,230.72,0.01,103361.065
P2PCollector+greedy (k=0),0,BASELINE,39,1,3000,1,4,0,past-avg-total,0.0,702.0275,231.98250000000002,0.01,104542.52
P2PCollector+greedy (k=0),0,BASELINE,39,1,3000,1,4,0,random,0.0,700.77,230.72,0.01,103361.065
P2PCollector+greedy (k=0),0,BASELINE,39,1,3000,1,4,1,none,0.0,704.9175,234.8875,0.01,95082.09
P2PCollector+greedy (k=0),0,BASELINE,39,1,3000,1,4,1,past-avg,0.0,702.33,232.2825,0.01,99591.5475
P2PCollector+greedy (k=0),0,BASELINE,39,1,3000,1,4,1,past-avg-revisit,0.0,700.77,230.72,0.01,103361.065
P2PCollector+greedy (k=0),0,BASELINE,39,1,3000,1,4,1,past-avg-total,0.0,702.0275,231.98250000000002,0.01,104542.52
P2PCollector+greedy (k=0),0,BASELINE,39,1,3000,1,4,1,random,0.0,700.77,230.72,0.01,103361.065
P2PCollector+greedy (k=0),0,BASELINE,1685,1,1000,1,4,0,none,1.935,2103.59,233.3075,2.355,266149.8575
P2PCollector+greedy (k=0),0,BASELINE,1685,1,1000,1,4,0,past-avg,2.73,2344.16,511.53,3.19,346986.45
P2PCollector+greedy (k=0),0,BASELINE,1685,1,1000,1,4,0,past-avg-revisit,1.7625,1975.1225,86.155,2.265,678678.885
P2PCollector+greedy (k=0),0,BASELINE,1685,1,1000,1,4,0,past-avg-total,2.6475,2204.0625,350.055,3.11,417568.58999999997
P2PCollector+greedy (k=0),0,BASELINE,1685,1,1000,1,4,0,random,1.7175,1975.1225,86.155,2.2125000000000004,678678.885
P2PCollector+greedy (k=0),0,BASELINE,1685,1,1000,1,4,1,none,1.875,2103.59,233.3075,2.2824999999999998,266149.8575
P2PCollector+greedy (k=0),0,BASELINE,1685,1,1000,1,4,1,past-avg,2.7824999999999998,2344.16,511.53,3.2424999999999997,346986.45
P2PCollector+greedy (k=0),0,BASELINE,1685,1,1000,1,4,1,past-avg-revisit,1.8,1975.1225,86.155,2.3125,678678.885
P2PCollector+greedy (k=0),0,BASELINE,1685,1,1000,1,4,1,past-avg-total,2.8125,2204.0625,350.055,3.31,417568.58999999997
P2PCollector+greedy (k=0),0,BASELINE,1685,1,1000,1,4,1,random,1.775,1975.1225,86.155,2.2824999999999998,678678.885
P2PCollector+greedy (k=0),0,BASELINE,1685,1,2000,1,4,0,none,1.515,2058.63,170.045,1.93,279647.815
P2PCollector+greedy (k=0),0,BASELINE,1685,1,2000,1,4,0,past-avg,2.4875,2109.325,228.64499999999998,2.955,362313.8025
P2PCollector+greedy (k=0),0,BASELINE,1685,1,2000,1,4,0,past-avg-revisit,1.1025,2051.725,162.3175,1.605,651941.6625
P2PCollector+greedy (k=0),0,BASELINE,1685,1,2000,1,4,0,past-avg-total,1.42,2054.3050000000003,165.04500000000002,1.8900000000000001,484968.45
P2PCollector+greedy (k=0),0,BASELINE,1685,1,2000,1,4,0,random,1.0675000000000001,2051.725,162.3175,1.56,651941.6625
P2PCollector+greedy (k=0),0,BASELINE,1685,1,2000,1,4,1,none,1.4849999999999999,2058.63,170.045,1.9,279647.815
P2PCollector+greedy (k=0),0,BASELINE,1685,1,2000,1,4,1,past-avg,2.4875,2109.325,228.64499999999998,2.9475,362313.8025
P2PCollector+greedy (k=0),0,BASELINE,1685,1,2000,1,4,1,past-avg-revisit,1.0750000000000002,2051.725,162.3175,1.5750000000000002,651941.6625
P2PCollector+greedy (k=0),0,BASELINE,1685,1,2000,1,4,1,past-avg-total,1.4225,2054.3050000000003,165.04500000000002,1.895,484968.45
P2PCollector+greedy (k=0),0,BASELINE,1685,1,2000,1,4,1,random,1.0975000000000001,2051.725,162.3175,1.5975000000000001,651941.6625
P2PCollector+greedy (k=0),0,BASELINE,1685,1,3000,1,4,0,none,0.97,2136.9300000000003,247.535,1.3875,291096.035
P2PCollector+greedy (k=0),0,BASELINE,1685,1,3000,1,4,0,past-avg,1.755,2142.56,253.89,2.2175,360554.3275
P2PCollector+greedy (k=0),0,BASELINE,1685,1,3000,1,4,0,past-avg-revisit,1.06,2134.0725,244.6625,1.555,661281.7225
P2PCollector+greedy (k=0),0,BASELINE,1685,1,3000,1,4,0,past-avg-total,1.1875,2136.515,247.115,1.665,504365.9475
P2PCollector+greedy (k=0),0,BASELINE,1685,1,3000,1,4,0,random,1.0725,2134.0725,244.6625,1.5725,661281.7225
P2PCollector+greedy (k=0),0,BASELINE,1685,1,3000,1,4,1,none,0.9725,2136.9300000000003,247.535,1.3925,291096.035
