algorithm,kHops,p2pRequestRepublishTicks,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,BASELINE,Taxi Travel Distance [km],4,70143.645,708.2234996630663,69351.69,71242.99,150332.57499999998,135717.13999999998,172560.44
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,BASELINE,Client Waiting Time [min],4,293.9975,31.718757364531175,263.21,336.74,4937.0,3593.0,5978.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,BASELINE,Client Travel Time [min],4,772.66,38.92726294000133,728.22,820.6,5329.25,4807.0,5937.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,BASELINE,Calculation Time [millis],4,0.0125,0.004330127018922193,0.01,0.02,3.75,2.0,6.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,BASELINE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,BASELINE,Simulation Time [millis],4,0.02,0.0,0.02,0.02,4.0,2.0,7.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,BASELINE,Taxi Travel Distance [km],4,266149.8575,522.6589476597161,265489.41,266880.65,590771.7999999999,569531.24,613284.9
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,BASELINE,Client Waiting Time [min],4,233.3075,35.2054373463816,181.51,270.87,10630.25,6957.0,16237.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,BASELINE,Client Travel Time [min],4,2103.59,37.84085754842243,2051.46,2151.62,11646.0,7923.0,17328.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,BASELINE,Calculation Time [millis],4,1.9675,0.01785357107135714,1.95,1.99,14.75,14.0,16.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,BASELINE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,BASELINE,Simulation Time [millis],4,2.385,0.02598076211353318,2.36,2.42,15.75,15.0,17.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,RUSH_HOUR,Taxi Travel Distance [km],4,66895.93000000001,3089.364334397937,63053.36,71161.1,133088.7625,126040.44,145192.66999999998
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,RUSH_HOUR,Client Waiting Time [min],4,363.9875,60.24220421556635,273.9,436.9,4743.75,4029.0,5282.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,RUSH_HOUR,Client Travel Time [min],4,834.8399999999999,83.14092253517516,726.02,958.8,4739.0,4015.0,5364.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,RUSH_HOUR,Calculation Time [millis],4,0.01,0.0,0.01,0.01,3.0,3.0,3.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,RUSH_HOUR,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,RUSH_HOUR,Simulation Time [millis],4,0.0175,0.004330127018922193,0.01,0.02,3.0,3.0,3.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,RUSH_HOUR,Taxi Travel Distance [km],4,241885.82499999998,1162.4932273028523,240552.44,243695.57,485844.2075,449583.9,516055.01
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,RUSH_HOUR,Client Waiting Time [min],4,1266.395,43.82733650360245,1190.86,1298.42,21972.25,21179.0,22630.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,RUSH_HOUR,Client Travel Time [min],4,3109.4025,50.047699934662255,3024.55,3154.25,22410.5,21493.0,23130.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,RUSH_HOUR,Calculation Time [millis],4,2.3925,0.03269174207655515,2.34,2.43,26.5,26.0,27.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,RUSH_HOUR,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,RUSH_HOUR,Simulation Time [millis],4,2.7950000000000004,0.03354101966249678,2.74,2.83,27.75,27.0,29.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_IMBALANCE,Taxi Travel Distance [km],4,37614.0175,1655.13741664212,35382.09,39903.2,103591.375,89383.2,117087.08
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_IMBALANCE,Client Waiting Time [min],4,1265.7350000000001,58.85855099303758,1191.08,1347.69,5694.25,5188.0,6180.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_IMBALANCE,Client Travel Time [min],4,1650.16,73.4816796895662,1575.24,1752.92,5683.5,5179.0,6215.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_IMBALANCE,Calculation Time [millis],4,0.02,0.0,0.02,0.02,3.25,3.0,4.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_IMBALANCE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_IMBALANCE,Simulation Time [millis],4,0.02,0.0,0.02,0.02,3.25,3.0,4.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_IMBALANCE,Taxi Travel Distance [km],4,82275.76999999999,1522.3004263121004,80375.59,84545.89,497946.15249999997,481637.94,514746.66
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_IMBALANCE,Client Waiting Time [min],4,6412.625,43.937665789160874,6364.71,6484.29,26669.75,26280.0,26927.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_IMBALANCE,Client Travel Time [min],4,8239.744999999999,40.077707332131425,8181.08,8293.05,26716.5,26283.0,27016.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_IMBALANCE,Calculation Time [millis],4,3.5275,0.03112474899497189,3.5,3.58,20.5,11.0,37.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_IMBALANCE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_IMBALANCE,Simulation Time [millis],4,3.9699999999999998,0.041231056256176644,3.94,4.04,22.25,12.0,37.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_ISLANDS,Taxi Travel Distance [km],4,29315.1325,2824.3229729386044,26036.46,33720.05,95330.9625,76143.37,110997.66
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_ISLANDS,Client Waiting Time [min],4,1754.605,139.41201338120038,1629.94,1985.5,5640.5,5361.0,6058.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_ISLANDS,Client Travel Time [min],4,2332.5550000000003,144.81544418673028,2140.84,2539.92,6439.5,5653.0,6791.0
