variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Taxi Travel Distance [km]
P2PCollector+nearest (k=0),0,BASELINE,6,1,100,1,4,0,none,0.019,312.543,3.161,2.75
P2PCollector+nearest (k=0),0,BASELINE,6,1,100,1,4,0,return-to-hq,0.022,94.40599999999999,1.206,45.723
P2PCollector+nearest (k=0),0,BASELINE,6,1,100,1,4,1,none,0.01,312.543,3.161,2.75
P2PCollector+nearest (k=0),0,BASELINE,6,1,100,1,4,1,return-to-hq,0.022,94.684,1.216,46.132
P2PCollector+nearest (k=0),0,BASELINE,6,1,200,1,4,0,none,0.01,179.70999999999998,2.0,5.886
P2PCollector+nearest (k=0),0,BASELINE,6,1,200,1,4,0,return-to-hq,0.012,62.565,0.6799999999999999,28.572000000000003
P2PCollector+nearest (k=0),0,BASELINE,6,1,200,1,4,1,none,0.01,179.676,1.999,5.886
P2PCollector+nearest (k=0),0,BASELINE,6,1,200,1,4,1,return-to-hq,0.011,63.137,0.678,28.928000000000004
P2PCollector+nearest (k=0),0,RUSH_HOUR,6,1,100,1,4,0,none,0.01,313.383,2.993,2.784
P2PCollector+nearest (k=0),0,RUSH_HOUR,6,1,100,1,4,0,return-to-hq,0.01,314.117,3.729,4.311
P2PCollector+nearest (k=0),0,RUSH_HOUR,6,1,100,1,4,1,none,0.01,313.39099999999996,2.993,2.784
P2PCollector+nearest (k=0),0,RUSH_HOUR,6,1,100,1,4,1,return-to-hq,0.01,313.733,3.7269999999999994,4.313000000000001
P2PCollector+nearest (k=0),0,RUSH_HOUR,6,1,200,1,4,0,none,0.01,173.686,1.923,6.089
P2PCollector+nearest (k=0),0,RUSH_HOUR,6,1,200,1,4,0,return-to-hq,0.01,173.31400000000002,2.0989999999999998,8.047
P2PCollector+nearest (k=0),0,RUSH_HOUR,6,1,200,1,4,1,none,0.01,173.76100000000002,1.918,6.081
P2PCollector+nearest (k=0),0,RUSH_HOUR,6,1,200,1,4,1,return-to-hq,0.01,174.163,2.0989999999999998,8.023
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,6,1,100,1,4,0,none,0.01,334.505,3.786,1.299
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,6,1,100,1,4,0,return-to-hq,0.01,196.894,1.6039999999999999,6.523999999999999
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,6,1,100,1,4,1,none,0.01,335.007,3.8379999999999996,1.292
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,6,1,100,1,4,1,return-to-hq,0.01,196.97,1.6030000000000002,6.518000000000001
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,6,1,200,1,4,0,none,0.01,248.63400000000001,2.7990000000000004,3.656
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,6,1,200,1,4,0,return-to-hq,0.01,79.425,0.759,10.261
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,6,1,200,1,4,1,none,0.01,250.02800000000002,2.803,3.626
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,6,1,200,1,4,1,return-to-hq,0.01,80.014,0.769,10.248000000000001
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,6,1,100,1,4,0,none,0.01,385.928,4.799,1.388
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,6,1,100,1,4,0,return-to-hq,0.01,166.999,1.035,7.505
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,6,1,100,1,4,1,none,0.01,385.928,4.799,1.388
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,6,1,100,1,4,1,return-to-hq,0.01,166.989,1.035,7.506
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,6,1,200,1,4,0,none,0.01,300.57,3.4770000000000003,3.5700000000000003
