metric,variant_k,spawnScenario,count,mean,median,std,min,max
Calculation Time [millis],P2PCollector+nearest (k=0),BASELINE,80,0.014499999999999999,0.01,0.00855362829225267,0.01,0.07
Calculation Time [millis],P2PCollector+nearest (k=0),RUSH_HOUR,80,0.01,0.01,0.0,0.01,0.01
Calculation Time [millis],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,80,0.01,0.01,0.0,0.01,0.01
Calculation Time [millis],P2PCollector+nearest (k=0),SPATIAL_ISLANDS,80,0.01,0.01,0.0,0.01,0.01
Calculation Time [millis],P2PCollector+nearest (k=1),BASELINE,80,0.014624999999999999,0.01,0.00692523362490347,0.01,0.03
Calculation Time [millis],P2PCollector+nearest (k=1),RUSH_HOUR,80,0.01,0.01,0.0,0.01,0.01
Calculation Time [millis],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,80,0.01,0.01,0.0,0.01,0.01
Calculation Time [millis],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,80,0.01,0.01,0.0,0.01,0.01
Calculation Time [millis],P2PCollector+nearest (k=2),BASELINE,80,0.014374999999999999,0.01,0.006530115241195297,0.01,0.03
Calculation Time [millis],P2PCollector+nearest (k=2),RUSH_HOUR,80,0.01,0.01,0.0,0.01,0.01
Calculation Time [millis],P2PCollector+nearest (k=2),SPATIAL_IMBALANCE,80,0.01,0.01,0.0,0.01,0.01
Calculation Time [millis],P2PCollector+nearest (k=2),SPATIAL_ISLANDS,80,0.01,0.01,0.0,0.01,0.01
Calculation Time [millis],SinglePassenger,BASELINE,10,0.0,0.0,0.0,0.0,0.0
Calculation Time [millis],SinglePassenger,RUSH_HOUR,10,0.0,0.0,0.0,0.0,0.0
Calculation Time [millis],SinglePassenger,SPATIAL_IMBALANCE,10,0.0,0.0,0.0,0.0,0.0
Calculation Time [millis],SinglePassenger,SPATIAL_ISLANDS,10,0.0,0.0,0.0,0.0,0.0
Calculation Time [millis],VehicleRouting,BASELINE,10,0.05600000000000001,0.05,0.00966091783079296,0.05,0.08
Calculation Time [millis],VehicleRouting,RUSH_HOUR,10,0.093,0.08,0.02213594362117866,0.07,0.13
Calculation Time [millis],VehicleRouting,SPATIAL_IMBALANCE,10,0.066,0.065,0.006992058987801015,0.06,0.08
Calculation Time [millis],VehicleRouting,SPATIAL_ISLANDS,10,0.065,0.065,0.010801234497346435,0.05,0.08
Client Travel Time [min],P2PCollector+nearest (k=0),BASELINE,80,162.408,106.52,100.76549372212344,57.91,374.53
Client Travel Time [min],P2PCollector+nearest (k=0),RUSH_HOUR,80,243.6935,246.58499999999998,75.99348834695803,137.68,379.31
Client Travel Time [min],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,80,215.184625,214.42000000000002,95.52030067144852,56.85,393.06
Client Travel Time [min],P2PCollector+nearest (k=0),SPATIAL_ISLANDS,80,241.965625,223.96,112.47572131655956,86.38,448.13
Client Travel Time [min],P2PCollector+nearest (k=1),BASELINE,80,159.6445,109.96000000000001,97.46836074635847,57.85,371.53
Client Travel Time [min],P2PCollector+nearest (k=1),RUSH_HOUR,80,233.53337500000004,230.325,75.37782328308224,114.18,347.44
Client Travel Time [min],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,80,213.48274999999998,213.575,95.75428579462107,53.51,409.6
Client Travel Time [min],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,80,234.76375,208.55,113.6207782229436,60.88,447.6
Client Travel Time [min],P2PCollector+nearest (k=2),BASELINE,80,158.935125,111.28,97.03408362423126,58.79,371.53
Client Travel Time [min],P2PCollector+nearest (k=2),RUSH_HOUR,80,230.31374999999997,219.61,77.09402052655817,94.35,350.0
Client Travel Time [min],P2PCollector+nearest (k=2),SPATIAL_IMBALANCE,80,212.757875,212.25,95.60026820170194,53.26,409.6
Client Travel Time [min],P2PCollector+nearest (k=2),SPATIAL_ISLANDS,80,235.01437500000003,211.985,112.04627044718366,55.98,447.6
Client Travel Time [min],SinglePassenger,BASELINE,10,36.456,36.735,2.1674983019344882,33.0,39.53
Client Travel Time [min],SinglePassenger,RUSH_HOUR,10,38.525999999999996,39.545,2.784174324044143,34.53,42.58
Client Travel Time [min],SinglePassenger,SPATIAL_IMBALANCE,10,35.337,34.72,2.394916143277951,32.25,39.45
Client Travel Time [min],SinglePassenger,SPATIAL_ISLANDS,10,38.762,38.56,1.8373277697061379,37.06,43.41
Client Travel Time [min],VehicleRouting,BASELINE,10,37.589,37.59,1.9528295709900891,34.08,40.21
Client Travel Time [min],VehicleRouting,RUSH_HOUR,10,41.973,42.6,4.027511086956258,35.65,48.81
Client Travel Time [min],VehicleRouting,SPATIAL_IMBALANCE,10,37.016000000000005,36.345,2.664212203760555,34.31,42.34
Client Travel Time [min],VehicleRouting,SPATIAL_ISLANDS,10,40.940000000000005,40.34,1.8784449833720331,38.79,44.06
Client Waiting Time [min],P2PCollector+nearest (k=0),BASELINE,80,1.7626249999999999,1.33,1.0338911919711105,0.6,4.33
Client Waiting Time [min],P2PCollector+nearest (k=0),RUSH_HOUR,80,2.685125,2.57,0.8897389657732144,1.28,5.16
Client Waiting Time [min],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,80,2.2451250000000003,2.1900000000000004,1.2428081654366245,0.41,5.66
Client Waiting Time [min],P2PCollector+nearest (k=0),SPATIAL_ISLANDS,80,2.582,2.06,1.7537875107638867,0.42,6.16
Client Waiting Time [min],P2PCollector+nearest (k=1),BASELINE,80,1.716875,1.37,0.9546072076441053,0.59,4.03
Client Waiting Time [min],P2PCollector+nearest (k=1),RUSH_HOUR,80,2.58525,2.495,0.8977623025605019,0.85,4.88
Client Waiting Time [min],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,80,2.2022500000000003,2.1100000000000003,1.2369388255802505,0.43,5.7
Client Waiting Time [min],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,80,2.5225,1.895,1.7284049132954347,0.47,6.12
Client Waiting Time [min],P2PCollector+nearest (k=2),BASELINE,80,1.7126249999999998,1.45,0.9607298698965244,0.61,4.03
