algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,BASELINE,Taxi Travel Distance [km],10,2.75,0.5160813889300794,1.86,3.46,3.3579999999999997,2.2300000000000004,5.09
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,BASELINE,Client Waiting Time [min],10,3.161,0.718017409259692,1.88,4.33,10.98,6.3500000000000005,13.97
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,BASELINE,Client Travel Time [min],10,312.543,38.466544697957985,239.86,374.53,853.5,757.0,933.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,BASELINE,Calculation Time [millis],10,0.019000000000000006,0.017578395831246946,0.01,0.07,1.7,0.0,10.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Taxi Travel Distance [km],10,2.7840000000000003,0.4518008410793411,2.13,3.45,4.4830000000000005,3.51,5.78
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Client Waiting Time [min],10,2.9930000000000003,0.5936505706221463,2.12,3.78,12.108,10.4,13.969999999999999
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Client Travel Time [min],10,313.383,24.692990118655132,269.2,345.76,851.6,769.0,957.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Calculation Time [millis],10,0.009999999999999998,1.734723475976807E-18,0.01,0.01,1.0,0.0,5.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Taxi Travel Distance [km],10,1.2990000000000002,0.2453752228730521,0.92,1.79,2.267,1.0899999999999999,3.36
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Client Waiting Time [min],10,3.786,0.6811196664316778,3.21,5.66,9.815000000000001,6.9,15.62
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Client Travel Time [min],10,334.505,24.610490954062655,306.61,393.06,814.7,703.0,910.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Calculation Time [millis],10,0.009999999999999998,1.734723475976807E-18,0.01,0.01,0.5,0.0,2.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Taxi Travel Distance [km],10,1.3880000000000003,0.3801262948021355,0.84,2.08,2.306,1.38,3.34
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Client Waiting Time [min],10,4.799,0.9095652807797799,3.36,6.16,12.184999999999999,9.27,14.61
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Client Travel Time [min],10,385.928,30.744627433097964,350.03,448.13,820.3,746.0,956.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Calculation Time [millis],10,0.009999999999999998,1.734723475976807E-18,0.01,0.01,0.3,0.0,2.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Taxi Travel Distance [km],10,45.723,3.4418049044069883,38.64,51.28,5.688999999999999,1.9799999999999969,7.630000000000003
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Client Waiting Time [min],10,1.206,0.10669582934679311,0.99,1.38,5.198000000000001,3.95,7.81
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Client Travel Time [min],10,94.406,4.765287399517472,86.86,102.6,317.7,238.0,471.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Calculation Time [millis],10,0.022,0.003999999999999998,0.02,0.03,0.6,0.0,1.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Taxi Travel Distance [km],10,4.311,0.711216563361681,2.56,5.0,9.417000000000002,6.09,14.32
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Client Waiting Time [min],10,3.7290000000000005,0.6030497491915572,2.71,5.04,10.845,8.37,14.08
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Client Travel Time [min],10,314.11699999999996,35.720783320078525,260.19,379.25,850.1,774.0,945.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Calculation Time [millis],10,0.009999999999999998,1.734723475976807E-18,0.01,0.01,0.3,0.0,1.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Taxi Travel Distance [km],10,6.523999999999999,0.7647117103850313,5.18,7.7,11.421000000000001,7.18,18.07
