variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Taxi Travel Distance [km]
P2PCollector+nearest (k=0),0,BASELINE,60,1,1000,1,4,0,none,0.21,973.56,9.98,66.58
P2PCollector+nearest (k=0),0,BASELINE,60,1,1000,1,4,0,past-avg,0.2,305.07,1.24,153.13
P2PCollector+nearest (k=0),0,BASELINE,60,1,1000,1,4,0,return-to-hq,0.4,291.58,1.0,332.79
P2PCollector+nearest (k=0),0,BASELINE,60,1,1000,1,4,1,none,0.34,973.54,9.98,66.57
P2PCollector+nearest (k=0),0,BASELINE,60,1,1000,1,4,1,past-avg,0.46,326.95,1.61,165.46
P2PCollector+nearest (k=0),0,BASELINE,60,1,1000,1,4,1,return-to-hq,0.68,289.03,0.96,320.54
P2PCollector+nearest (k=0),0,BASELINE,60,1,2000,1,4,0,none,0.12,342.88,1.86,86.03
P2PCollector+nearest (k=0),0,BASELINE,60,1,2000,1,4,0,past-avg,0.06,295.95,1.06,120.75
P2PCollector+nearest (k=0),0,BASELINE,60,1,2000,1,4,0,return-to-hq,0.1,296.51,1.07,150.62
P2PCollector+nearest (k=0),0,BASELINE,60,1,2000,1,4,1,none,0.19,340.5,1.82,85.84
P2PCollector+nearest (k=0),0,BASELINE,60,1,2000,1,4,1,past-avg,0.09,296.73,1.07,126.75
P2PCollector+nearest (k=0),0,BASELINE,60,1,2000,1,4,1,return-to-hq,0.16,295.48,1.05,146.63
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,1000,1,4,0,none,0.22,641.97,6.6,73.29
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,1000,1,4,0,past-avg,0.27,400.63,2.8,144.54
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,1000,1,4,0,return-to-hq,0.25,1631.73,21.78,68.56
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,1000,1,4,1,none,0.34,641.97,6.6,73.29
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,1000,1,4,1,past-avg,0.45,368.96,2.31,151.55
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,1000,1,4,1,return-to-hq,0.35,1631.11,21.77,68.57
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,2000,1,4,0,none,0.13,334.34,1.67,86.61
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,2000,1,4,0,past-avg,0.16,307.06,1.2,127.16
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,2000,1,4,0,return-to-hq,0.22,822.93,9.33,91.99
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,2000,1,4,1,none,0.28,333.16,1.65,86.56
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,2000,1,4,1,past-avg,0.29,318.41,1.38,125.72
P2PCollector+nearest (k=0),0,RUSH_HOUR,60,1,2000,1,4,1,return-to-hq,0.38,823.62,9.32,91.69
