algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,BASELINE,Taxi Travel Distance [km],1,66.58,0.0,66.58,66.58,163.0,163.0,163.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,BASELINE,Client Waiting Time [min],1,9.98,0.0,9.98,9.98,116.96000000000001,116.96000000000001,116.96000000000001
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,BASELINE,Client Travel Time [min],1,973.56,0.0,973.56,973.56,7096.0,7096.0,7096.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,BASELINE,Calculation Time [millis],1,0.21,0.0,0.21,0.21,12.0,12.0,12.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,BASELINE,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Taxi Travel Distance [km],1,73.29,0.0,73.29,73.29,130.47,130.47,130.47
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Client Waiting Time [min],1,6.6,0.0,6.6,6.6,97.07000000000001,97.07000000000001,97.07000000000001
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Client Travel Time [min],1,641.97,0.0,641.97,641.97,5854.0,5854.0,5854.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Calculation Time [millis],1,0.22,0.0,0.22,0.22,4.0,4.0,4.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,RUSH_HOUR,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Taxi Travel Distance [km],1,34.57,0.0,34.57,34.57,119.77,119.77,119.77
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Client Waiting Time [min],1,31.0,0.0,31.0,31.0,123.10000000000001,123.10000000000001,123.10000000000001
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Client Travel Time [min],1,2262.32,0.0,2262.32,2262.32,7384.0,7384.0,7384.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Calculation Time [millis],1,0.2,0.0,0.2,0.2,3.0,3.0,3.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Taxi Travel Distance [km],1,27.33,0.0,27.33,27.33,102.78,102.78,102.78
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Client Waiting Time [min],1,38.72,0.0,38.72,38.72,122.0,122.0,122.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Client Travel Time [min],1,3155.72,0.0,3155.72,3155.72,8831.0,8831.0,8831.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Calculation Time [millis],1,0.24,0.0,0.24,0.24,3.0,3.0,3.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Taxi Travel Distance [km],1,332.79,0.0,332.79,332.79,105.73000000000002,105.73000000000002,105.73000000000002
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Client Waiting Time [min],1,1.0,0.0,1.0,1.0,10.33,10.33,10.33
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Client Travel Time [min],1,291.58,0.0,291.58,291.58,954.0,954.0,954.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Calculation Time [millis],1,0.4,0.0,0.4,0.4,5.0,5.0,5.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Taxi Travel Distance [km],1,68.56,0.0,68.56,68.56,477.24,477.24,477.24
