metric,variant_k,spawnScenario,count,mean,median,std,min,max
Calculation Time [millis],FillAllSeats,BASELINE,20,0.0,0.0,0.0,0.0,0.0
Calculation Time [millis],FillAllSeats,RUSH_HOUR,20,0.0,0.0,0.0,0.0,0.0
Calculation Time [millis],FillAllSeats,SPATIAL_IMBALANCE,20,0.0,0.0,0.0,0.0,0.0
Calculation Time [millis],FillAllSeats,SPATIAL_ISLANDS,20,0.0,0.0,0.0,0.0,0.0
Calculation Time [millis],P2PCollector+greedy (k=1),BASELINE,60,0.06533333333333333,0.06,0.03591263724824861,0.03,0.11
Calculation Time [millis],P2PCollector+greedy (k=1),RUSH_HOUR,60,0.06583333333333334,0.07,0.0353333599829342,0.03,0.11
Calculation Time [millis],P2PCollector+greedy (k=1),SPATIAL_IMBALANCE,60,0.0655,0.065,0.036192751404629186,0.03,0.14
Calculation Time [millis],P2PCollector+greedy (k=1),SPATIAL_ISLANDS,60,0.066,0.06,0.036924109068581124,0.03,0.14
Calculation Time [millis],P2PCollector+greedy (k=10),BASELINE,60,0.06483333333333334,0.06,0.03539087628603996,0.03,0.11
Calculation Time [millis],P2PCollector+greedy (k=10),RUSH_HOUR,60,0.06433333333333333,0.06,0.034902608647427495,0.03,0.11
Calculation Time [millis],P2PCollector+greedy (k=10),SPATIAL_IMBALANCE,60,0.06266666666666666,0.06,0.03313386647140102,0.03,0.1
Calculation Time [millis],P2PCollector+greedy (k=10),SPATIAL_ISLANDS,60,0.06483333333333334,0.06,0.03534295253350109,0.03,0.11
Calculation Time [millis],P2PCollector+greedy (k=2),BASELINE,60,0.0645,0.06,0.0349539648826417,0.03,0.11
Calculation Time [millis],P2PCollector+greedy (k=2),RUSH_HOUR,60,0.06466666666666666,0.06,0.035341753607066505,0.03,0.11
Calculation Time [millis],P2PCollector+greedy (k=2),SPATIAL_IMBALANCE,60,0.06333333333333332,0.06,0.03378228733897554,0.03,0.1
Calculation Time [millis],P2PCollector+greedy (k=2),SPATIAL_ISLANDS,60,0.065,0.06,0.035534657229341335,0.03,0.11
Calculation Time [millis],P2PCollector+greedy (k=3),BASELINE,60,0.06466666666666666,0.06,0.03514939865756882,0.03,0.11
Calculation Time [millis],P2PCollector+greedy (k=3),RUSH_HOUR,60,0.06433333333333333,0.06,0.034902608647427495,0.03,0.11
Calculation Time [millis],P2PCollector+greedy (k=3),SPATIAL_IMBALANCE,60,0.06316666666666666,0.06,0.03362261479999288,0.03,0.1
Calculation Time [millis],P2PCollector+greedy (k=3),SPATIAL_ISLANDS,60,0.06466666666666666,0.06,0.03519758594701028,0.03,0.11
Calculation Time [millis],P2PCollector+nearest (k=1),BASELINE,60,0.0665,0.065,0.03704440761563371,0.03,0.13
Calculation Time [millis],P2PCollector+nearest (k=1),RUSH_HOUR,60,0.06516666666666666,0.06,0.03586659210712012,0.03,0.11
Calculation Time [millis],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,60,0.06433333333333333,0.065,0.03391748045220914,0.03,0.11
Calculation Time [millis],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,60,0.06633333333333333,0.06,0.03764088413138154,0.03,0.16
Calculation Time [millis],P2PCollector+nearest (k=10),BASELINE,60,0.06483333333333334,0.06,0.03534295253350109,0.03,0.11
Calculation Time [millis],P2PCollector+nearest (k=10),RUSH_HOUR,60,0.06433333333333333,0.06,0.03495113618902761,0.03,0.11
Calculation Time [millis],P2PCollector+nearest (k=10),SPATIAL_IMBALANCE,60,0.06333333333333332,0.06,0.03378228733897554,0.03,0.1
Calculation Time [millis],P2PCollector+nearest (k=10),SPATIAL_ISLANDS,60,0.06416666666666666,0.06,0.03465528387656018,0.03,0.11
Calculation Time [millis],P2PCollector+nearest (k=2),BASELINE,60,0.06483333333333334,0.06,0.035342952533501094,0.03,0.11
Calculation Time [millis],P2PCollector+nearest (k=2),RUSH_HOUR,60,0.064,0.06,0.03455283353192247,0.03,0.11
Calculation Time [millis],P2PCollector+nearest (k=2),SPATIAL_IMBALANCE,60,0.06333333333333332,0.06,0.03378228733897554,0.03,0.1
