algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmFillAllSeats,0,-1,5,25,1,n/a,-1,-1,-1,BASELINE,Taxi Travel Distance [km],5,150.074,9.468135191261263,139.84,166.81,96.63999999999999,65.41,142.6
TaxiAlgorithmFillAllSeats,0,-1,5,25,1,n/a,-1,-1,-1,BASELINE,Client Waiting Time [min],5,16.028,2.3104146813937967,13.87,20.45,30.939999999999998,26.29,36.150000000000006
TaxiAlgorithmFillAllSeats,0,-1,5,25,1,n/a,-1,-1,-1,BASELINE,Client Travel Time [min],5,1470.4879999999998,151.68714835476342,1345.04,1760.28,3260.0,2552.0,3673.0
TaxiAlgorithmFillAllSeats,0,-1,5,25,1,n/a,-1,-1,-1,BASELINE,Calculation Time [millis],5,0.0,0.0,0.0,0.0,0.6,0.0,3.0
TaxiAlgorithmFillAllSeats,0,-1,5,25,1,n/a,-1,-1,-1,BASELINE,Custom Time [micros],5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmFillAllSeats,0,-1,5,50,1,n/a,-1,-1,-1,BASELINE,Taxi Travel Distance [km],5,228.13199999999998,4.765339022567019,222.59,236.78,35.67800000000002,15.730000000000018,48.96000000000001
TaxiAlgorithmFillAllSeats,0,-1,5,50,1,n/a,-1,-1,-1,BASELINE,Client Waiting Time [min],5,24.7,1.222800065423615,23.53,26.83,74.166,49.14,106.8
TaxiAlgorithmFillAllSeats,0,-1,5,50,1,n/a,-1,-1,-1,BASELINE,Client Travel Time [min],5,1889.6079999999997,82.16070165231065,1758.36,1995.82,5329.2,4152.0,6729.0
TaxiAlgorithmFillAllSeats,0,-1,5,50,1,n/a,-1,-1,-1,BASELINE,Calculation Time [millis],5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmFillAllSeats,0,-1,5,50,1,n/a,-1,-1,-1,BASELINE,Custom Time [micros],5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmFillAllSeats,0,-1,10,50,1,n/a,-1,-1,-1,BASELINE,Taxi Travel Distance [km],5,153.782,9.48241192946182,136.43,164.14,147.152,120.62999999999998,187.34
TaxiAlgorithmFillAllSeats,0,-1,10,50,1,n/a,-1,-1,-1,BASELINE,Client Waiting Time [min],5,14.738,1.4615525991219063,12.03,16.13,29.370000000000005,24.740000000000002,36.650000000000006
TaxiAlgorithmFillAllSeats,0,-1,10,50,1,n/a,-1,-1,-1,BASELINE,Client Travel Time [min],5,1420.268,92.72866447868208,1236.66,1489.4,2888.6,2536.0,3198.0
TaxiAlgorithmFillAllSeats,0,-1,10,50,1,n/a,-1,-1,-1,BASELINE,Calculation Time [millis],5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmFillAllSeats,0,-1,10,50,1,n/a,-1,-1,-1,BASELINE,Custom Time [micros],5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmFillAllSeats,0,-1,10,100,1,n/a,-1,-1,-1,BASELINE,Taxi Travel Distance [km],5,227.102,6.290238151294438,221.01,237.96,42.982,34.27000000000001,56.55000000000001
TaxiAlgorithmFillAllSeats,0,-1,10,100,1,n/a,-1,-1,-1,BASELINE,Client Waiting Time [min],5,21.668,2.5757437760771156,17.6,24.68,92.21400000000001,73.88000000000001,111.32000000000001
TaxiAlgorithmFillAllSeats,0,-1,10,100,1,n/a,-1,-1,-1,BASELINE,Client Travel Time [min],5,1764.762,163.50331267592102,1567.11,1960.85,6418.4,5482.0,7594.0
TaxiAlgorithmFillAllSeats,0,-1,10,100,1,n/a,-1,-1,-1,BASELINE,Calculation Time [millis],5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmFillAllSeats,0,-1,10,100,1,n/a,-1,-1,-1,BASELINE,Custom Time [micros],5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmFillAllSeats,0,-1,5,25,1,n/a,-1,-1,-1,RUSH_HOUR,Taxi Travel Distance [km],5,143.228,12.311364506016385,123.41,158.37,64.066,20.69999999999999,104.78
TaxiAlgorithmFillAllSeats,0,-1,5,25,1,n/a,-1,-1,-1,RUSH_HOUR,Client Waiting Time [min],5,19.589999999999996,3.348438442020399,14.55,24.56,40.61800000000001,26.12,54.62
TaxiAlgorithmFillAllSeats,0,-1,5,25,1,n/a,-1,-1,-1,RUSH_HOUR,Client Travel Time [min],5,1680.08,302.5353940285335,1195.72,2129.32,3404.0,2610.0,3856.0
TaxiAlgorithmFillAllSeats,0,-1,5,25,1,n/a,-1,-1,-1,RUSH_HOUR,Calculation Time [millis],5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmFillAllSeats,0,-1,5,25,1,n/a,-1,-1,-1,RUSH_HOUR,Custom Time [micros],5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmFillAllSeats,0,-1,5,50,1,n/a,-1,-1,-1,RUSH_HOUR,Taxi Travel Distance [km],5,229.41800000000003,7.194693600147259,219.12,240.04,38.629999999999995,21.55000000000001,48.06
TaxiAlgorithmFillAllSeats,0,-1,5,50,1,n/a,-1,-1,-1,RUSH_HOUR,Client Waiting Time [min],5,38.666000000000004,9.564033876978899,28.45,50.21,111.55199999999999,87.15,156.2
TaxiAlgorithmFillAllSeats,0,-1,5,50,1,n/a,-1,-1,-1,RUSH_HOUR,Client Travel Time [min],5,2711.2,621.1692739342473,2097.54,3512.14,7674.6,6196.0,9943.0
TaxiAlgorithmFillAllSeats,0,-1,5,50,1,n/a,-1,-1,-1,RUSH_HOUR,Calculation Time [millis],5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmFillAllSeats,0,-1,5,50,1,n/a,-1,-1,-1,RUSH_HOUR,Custom Time [micros],5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
